yang	which
tanamanmu	your plant
tambang	fare
tamariska	tamarisk
takjublah	be amazed
tabur	sow
syair	poetry
sutera	silk
susun	arrange
suratku	my letter
sukarelamu	your volunteering
suasana	atmosphere
sipat	character
silsilahnya	his/her lineage
siarkanlah	broadcast it
sial	shit
setidak	at least
setahu	as far as I know
sesyikal	one shekel
sesukunya	his/her tribe
serdadu	soldier
seperjuangan	comrade-in-arms
sepadan	corresponding
sendengkanlah	lean over
senangnya	how nice
semboyan	motto
sembelih	slaughter
semaunya	as you wish
semaraknya	its brightness
selokan	gutter
seling	alternate
sekerjaku	my colleague
sekerat	sliver
sejiwa	soulmate
sejengkal	a span
seibu	mother
secuil	a little bit
sebutan	pronunciation
sebangsaku	my countryman
sata	one
sardis	sardine
saran	suggestion
sapu	sweep
sangkanya	I think so.
sangkamu	you think
sandera	hostage
sambungan	connection
salamanlah	shake hands
saksiku	my witness
sabung	fight
sabitnya	the sickle
sabakhtani	sabbath
runtuhkan	collapse
rohanimu	your soul
remeh	trivial
ranggung	stagnant
rampasannya	his/her booty
ramal	predict
rajaku	my king
raga	body
puntung	butt
pisahkanlah	separate it
pipimu	your cheek
peternakan	livestock
peternak	farmer
petak	square
peserta	participant
pertahanannya	his defense
persoalkan	question
persepuluhanmu	your tithe
peronda	patrol
permohonannya	his application
permohonanmu	your request
perlindunganmu	your protection
perlihatkan	show
perlakuan	treatment
perjanjianmu	your agreement
perisaiku	my shield
perempuanmu	your woman
percikan	splash
percayanya	believe it
perbaikilah	fix it
peramah	friendly
perahunya	the boat
perabotan	furniture
pepatah	proverb
penyembelihan	slaughter
penyelenggaraan	maintenance
penuntun	guide
pentahirannya	its purification
penjaranya	his prison
penjajahan	colonization
pengungsian	evacuation
pengucapan	pronunciation
penghiburanmu	your comfort
pengguntingan	clipping
pengertianmu	your understanding
pengemudi	driver
penentuan	determination
pencar	scatter
penahan	restraint
pemerintahnya	his government
pembenaran	justification
pembelaannya	his defense
pembelaanku	my defense
pembaruan	update
pembaptisan	baptism
pemakaian	use
pelihara	maintain
pelari	runner
pelanggaranmu	your violation
pegangannya	his/her grip
pedagangmu	your merchant
patutlah	it should be
pasukanmu	your team
pantang	abstinence
panjatkan	climb
pangkatnya	his rank
pangkat	rank
panenmu	your harvest
pahlawannya	his hero
ongkos	cost
oleskan	apply
nyatakanlah	state it
nyanyikanlah	sing it
nyanyianmu	your singing
nikah	marriage
ngilu	painful
ngerinya	how terrible
ngejar	chasing
nenekmu	your grandmother
nasihatnya	his advice
napasnya	his breath
nampaklah	see
najiskan	defile
murung	depressed
miring	slanted
minumnya	drink it
mezbahmu	your altar
mewariskan	bequeath
mestinya	should be
mesias	messiah
merusakkannya	ruin it
merundingkan	negotiate
mertuamu	your father-in-law
meronta	struggle
merombak	remodel
merobohkannya	tear it down
merenungkannya	pondering it
merempah	spice up
merekah	crack
merebus	boil
merdu	melodious
meratakan	flatten
menyumpah	swear
menyumbang	contribute
menyuap	bribe
menyoraki	cheering
menyeberanginya	cross it
menyangkut	concerning
menumbuk	punch
menujukan	point
mentimun	cucumber
menoreh	tap
menolongku	help me
menjungkirbalikkan	overturn
menjumpainya	found it
menjinakkan	tame
menjelek	to make ugly
menjajah	colonize
menipunya	deceive him/her
meninjau	review
menindasnya	oppress him
mengutamakan	prioritize
mengusik	tease
mengurusnya	take care of it
mengukurnya	measure it
mengosongkan	empty
mengocok	to shake
mengobati	treat
mengirimkannya	send it
mengintip	spy
mengikatkannya	tie it
menghinakan	humiliate
menghambur	scatter
menghadapkannya	confront him/her
menggentarkan	terrifying
menggenapkan	complete
menggembalakannya	shepherd him
mengganjar	rewarding
mengeringkannya	dry it
mengeriap	wince
mengelakkan	avoid
mengatai	to criticize
mengasuh	to care for
mengap	yawn
menganut	adhere to
mengantarkannya	deliver it
mengalirlah	flow
mengalah	give in
mengakali	outsmart
menelannya	swallow it
menegurnya	reprimand him/her
menegarkan	to tighten
menduga	suspect
mendekatkan	bring closer
mendandani	dress up
mendalam	deep
mencungkil	dig up
mencobanya	try it
menciptakannya	create it
mencicipi	tasting
mencekam	gripping
menaranya	the tower
menangisinya	cry for him
memuntahkan	vomit
memukulkannya	hit him
mempunyainya	have it
mempertimbangkan	consider
mempersilakan	welcome
memperolok	make fun of
memperkaya	enrich
mempergunakannya	use it
memperdaya	deceive
mempekerjakan	employ
mempan	hold
memotongnya	cut it
memintal	spinning
memindahkannya	move it
memikulnya	carry it
memeteraikan	seal
memerintahlah	rule
membutuhkannya	need it
membusuk	rot
membuatmu	make you
membuangkan	throw away
membohong	lie
membengkokkan	bend
membebaskannya	free him/her
membantumu	help you
membanjir	flood
membangkitkannya	wake him up
membacakannya	read it
memata	spy
memangku	acting
memaki	swear
melunakkan	soften
melumpuhkan	paralyze
melukainya	hurt him
meludah	spit
melonjak	jump
melolong	howl
melipat	fold
melintang	horizontally
melingkupi	encompass
matai	watch
marahnya	his anger
maninya	his semen
mani	semen
malunya	shame on you
makananku	my food
majus	wise man
lututnya	his knee
luruskanlah	straighten it
lupakah	did you forget
loreng	stripes
logos	logo
lintangnya	its latitude
lewatlah	come by
lazuardi	azure
lawanlah	fight
latihan	training
laskarnya	his army
larinya	his run
laporkan	report
lapis	layer
langitnya	the sky
lancar	smooth
laksanakanlah	do it
lakinya	his/her husband
lahirkan	give birth
kuucapkan	I say
kutaati	I obey.
kupikirkan	I think
kuperlihatkan	I show you
kuperingatkan	I warn you.
kukirim	I send
kukalahkan	I defeated
kuinginkan	I want
kuingat	I remember
kuburmu	your grave
kubuka	open
kubiarkan	I leave it.
kuatlah	be strong
kuahnya	the broth
kirimlah	send it
ketabahan	perseverance
kesudahanmu	your end
kesetiaannya	his loyalty
kesepian	loneliness
kesenian	art
kesejahteraanmu	your well-being
kesedihanmu	your sadness
kerudung	veil
kerjanya	his work
kerap	often
keperluanmu	your needs
kepak	flap
kembalikanlah	return it
keluhanku	my complaint
kelembutan	tenderness
kelelawar	bat
kelalaian	negligence
kejauhan	distance
kejatuhan	fall
keinginanku	my wish
kehendaknya	his will
kegenapan	completeness
kegembiraanmu	your joy
kecongkakannya	his arrogance
kecilnya	small
kecilmu	your little one
kebijaksanaanmu	your wisdom
keberuntungan	luck
kebenaranku	my truth
keagamaan	religious
kautebus	you redeemed
kausangka	you suspect
kauperoleh	you get
kauperhatikan	you notice
kaupasang	you install
karibku	my dear
kantongnya	the pocket
kandungmu	your womb
kakeknya	his grandfather
kail	hook
kabulkanlah	accept it
kabarnya	it is said
jemaatmu	your church
jelekkan	make ugly
jelaga	soot
jawabanmu	your answer
jatuhkanlah	drop it
jaraknya	the distance
jantungku	my heart
jamang	old man
jalanan	street
jahanam	hell
jabatanmu	your position
itukah	is that it
imamat	priesthood
ikatannya	the bond
ijinkanlah	allow
ibukotanya	its capital
hukumlah	punish
hikmatku	my wisdom
hentikan	stop
hasrat	desire
hartaku	my property
hapuskanlah	delete it
hapuskan	delete
hamburkanlah	scatter it
halilintar	lightning
hakimmu	your judge
gilang	crazy
gera	alarm
generasi	generation
gemerlapan	glittering
gemar	fond of
gelar	degree
garang	fierce
gapura	gate
ganjil	odd
gaduh	noisy
foya	spree
fitnahan	slander
enyahlah	go away
engsel	hinge
empedu	bile
dukungan	support
dudukilah	sit down
dudaim	dudam
dombaku	my sheep
doakanlah	pray
doakan	pray
diwartakan	gazetted
ditutupnya	closing
ditutupinya	covered it
ditukar	exchanged
ditewaskan	defeated
diteruskan	continued
ditempa	forged
ditanyakan	asked
ditampar	slapped
disita	confiscated
disembunyikannya	he hid it
disangkal	denied
disalutnya	coated
dirobohkannya	demolished
dirawat	treated
diputuskannya	he decided
dipungutnya	collected
dipisahkannya	separated
dipilihnya	he chose
dipercayakannya	entrusted to him
dipenggal	beheaded
dipanggilnyalah	he called
diombang	waved
dioleskan	smeared
diolesi	smeared
dinodai	defiled
dimasuki	entered
dimampukan	enabled
dimainkan	played
diluruskan	straightened
dilimpahi	overflowing
dililit	wrapped
dilatih	trained
dilambangkan	symbolized
dikutuki	cursed
dikutip	quoted
dikurangi	reduced
dikembangkan	developed
dijualnya	sold it
dijalani	carried out
dijadikannya	made it
diingkari	denied
dihujat	blasphemed
dihabiskannya	he spent it
digendong	carried
digantikan	replaced
didobrak	broken
didesak	urged
diderita	suffered
didera	abused
didasarkan	based
didahului	preceded
dicintainya	loved by him
dicerai	divorced
dicekam	seized
dicegah	prevented
dicat	painted
dicapai	achieved
dibujuknya	he was persuaded
dibinasakannya	destroyed it
diberkatinyalah	blessed be he
dibatasi	restricted
dibangunkan	developed
dibalikkan	reversed
dibalas	reciprocated
dibajak	plowed
diasinkan	salted
diasah	sharpened
diapit	sandwiched
diajari	taught
diadakanlah	be held
desau	noise
derak	crackle
dengki	envy
degil	stubborn
datangi	come
dagang	trade
cucilah	wash it
coreng	smear
cintanya	his love
ceruk	niche
catatannya	his notes
carangnya	how much
camat	subdistrict
cairan	liquid
cabulnya	obscene
busa	foam
bungaran	flower
bulus	feather
bulannya	the month
bukitnya	the hill
bolehkah	can I
biadab	barbaric
berusia	old
berurap	anointed
bertukar	exchange
bertuhan	godly
bertih	to be angry
bertangguh	delay
bertamu	visit
bertambahlah	increase
bersoal	question
bersihkan	clean
bersembah	worship
berpenghuni	inhabited
berobah	change
bernafsu	lustful
bermupakat	agree
bermalamlah	stay the night
berlomba	to race
berlilitkan	entangled
berlengan	sleeveless
berkunjung	visit
berkudanya	riding
berkilap	shiny
berkereta	by car
berkawan	be friends
beristirahatlah	rest
bereskan	tidy up
berdiskusi	discuss
berdandan	dress up
berdampingan	side by side
berbiji	seed
berbalas	reciprocate
berbagi	share
berarak	march
beramai	together
beling	shard
belakangku	behind me
bebaslah	be free
bayangkan	imagine
batal	cancel
bantahan	objection
bangkaimu	your corpse
baki	balance
bakarnya	burn it
bajaknya	the fertilizer
baikmu	good for you
bagianku	my share
awalnya	initially
asmara	romance
asalmu	where are you from?
arahkanlah	direct
anjurkan	recommend
angkut	transport
alkohol	alcohol
ajudan	aide
ajal	death
agunglah	great
adapun	as for
adakan	hold
acara	event
Zima	Winter
Zila	Zilla
Yoseba	Joseba
Yokhebed	Jochebed
Yiftah	Jephthah
Timnat	Timnath
Tabera	Taberna
Sobakh	Sobah
Selumiel	Shelumiel
Salomolah	Hello.
Sabtu	Saturday
Sabetai	Sabbatay
Pniel	Peniel
Pikhol	Pichola
Pemikir	Thinker
Peloni	Pélonie
Pelaya	Waiter
Orpa	Orpah
Okhran	Okran
Obot	Medicine
Nobah	Change
Miza	Table
Mikhaya	Micaiah
Mesezabeel	Mezezabel
Memukan	Find
Mehetabeel	Mehetabel
Kutuntut	I demand
Kusingkirkan	I get rid of it.
Kucerai	Divorced
Kos	Cost
Kenanya	What?
Kelita	See you later.
Kauutus	You are sent.
Kauciptakan	You created
Iyon	Ion
Husyam	Husham
Hupim	Huppim
Hulda	Huldah
Hena	Henna
Hawot	Havot
Haroset	Haroseth
Hargailah	Appreciate it.
Hananeel	Hananel
Halah	Hello
Gedera	Geder
Gareb	Strange
Ewil	Good morning
Elot	Elote
Dotan	Dothan
Buni	Granny
Bu	Mom
Betulkah	Is that true?
Besor	Big
Bartimeus	Bartimaeus
Bapalah	Father
Askenas	Ashkenaz
Arkhipus	Archippus
Amisyadai	Amisayday
Akrabim	Akrabbim
Akhor	Achor
Ahisamakh	Ahisamach
Ahawa	Ahava
Adramelekh	Adrammelech
Abidan	Abidjan
yakini	believe
wanitanya	his woman
utuslah	send it
usir	expel
urusannya	his business
untamu	your camel
unggas	poultry
undurlah	back off
ulung	excellent
turunnya	the descent
tuntunlah	guide
tunjangan	allowance
tunggangan	ride
tundukkan	submit
tunda	delay
tumbuhlah	grow up
tujuannya	the purpose
tuanglah	pour it
tradisi	tradition
topas	topaz
tonggak	pillar
tiupan	blow
tilammu	your mattress
tikam	stab
tertusuk	pierced
tertambat	tied up
tersembuhkan	healed
terpesona	fascinated
ternganga	gape
ternama	famous
termeterai	sealed
termangu	stunned
terlelap	overslept
terkumpul	accumulated
terkembang	expanded
terjadinya	occurrence
terhingga	finite
terhimpit	squeezed
tergulung	rolled up
tergoyahkan	shaken
tergoncang	shaken
teranglah	be clear
terangkatlah	get up
tenaganya	his energy
tempatkanlah	place it
telurnya	the egg
teladanku	my role model
tekankan	emphasize
teguranku	my warning
tegoran	reprimand
tegakkanlah	stand up
tebak	guess
tawaran	offer
tangkainya	the stalk
tanggunganmu	your responsibility
tanggapan	response
takluklah	surrender
tahunnya	the year
tahanlah	hold on
tafsir	interpretation
taburkan	sprinkle
syukurlah	thank goodness
susunan	arrangement
susulan	follow-up
sundalnya	his bitch
sumurmu	your well
sumsum	marrow
sucikanlah	purify
sisik	scales
sinarnya	its rays
simpang	intersection
silam	past
silakanlah	please
sewajarnya	accordingly
sewaan	rental
seutas	a piece
sesampainya	upon arrival
serulah	call out
serbuan	raid
seram	horror
sepoi	sepoy
sepiring	a plate
seperjalanan	along the way
sendinya	the joint
semut	ant
semarakmu	your brilliance
semangatnya	his spirit
selidiki	investigate
selesaikanlah	finish it
sekaum	a tribe
sedihnya	sadly
sedialah	be ready
sedekahmu	your charity
secangkir	a cup
sebegitu	like that
sanga	slag
sandalnya	the sandals
salahmu	your fault
salahku	my fault
sakiti	hurt
sadari	realize
sabitmu	your scythe
rusuh	riot
rotiku	my bread
rontok	fall out
robohkan	demolish
restu	blessing
repot	bother
remukkan	crush
rebab	fiddle
rayap	termite
rahasianya	the secret
ragaku	my body
putar	rotate
punyai	have
punggawa	servant
pundaknya	his shoulder
pulangnya	his return
proyek	project
proses	process
prinsip	principle
potongnya	cut it
pohonmu	your tree
pintumu	your door
pinggiran	outskirts
pindahan	transfer
pikulan	blow
pikuk	hustle and bustle
pihaknya	his/her side
petik	quote
pesat	rapid
perusahaan	company
perunggunya	the bronze
persis	exactly
persiapkanlah	prepare
persetubuhan	intercourse
persembunyianmu	your hiding place
perkawinannya	his marriage
peringatkan	warn
pergunakanlah	use it
perginya	he left
pergelangan	wrist
perdengarkanlah	listen to me
perawakan	stature
perantau	nomad
perangmu	your war
peranginan	resort
peralatan	equipment
penyerbu	invader
penyelewengan	deviation
penyangga	buffer
penumpang	passenger
penuhi	fill
penolongnya	his assistant
penjaganya	the guardian
pening	dizziness
pengorbananmu	your sacrifice
penggallah	cut it off
pengetahuanku	my knowledge
pengejaran	pursuit
pengawalan	control
pengasuhnya	his/her nanny
penganiaya	persecutor
pengalamannya	his experience
pengajaranmu	your teaching
penerjemah	translator
penenun	weaver
penatu	laundry
penakut	coward
pemudi	young woman
pemikiran	thought
pemetikan	quotation
pemelihara	maintainer
pembinasaan	destruction
pembeliannya	the purchase
pemangkas	trimmer
peluk	hug
pelipisnya	his temple
pelautmu	your sailor
pelatarannya	the courtyard
pelanduk	hornet
pekerjanya	his/her employee
pegawaiku	my employee
pegangan	handle
pedulikan	care
pedangku	my sword
pecahkan	break
patungmu	your statue
patahlah	break it
pasi	pass
panik	panic
pangkuanmu	your lap
pangeran	prince
pangan	food
pandanganmu	your view
pahami	understand
pahala	reward
pahaku	my thigh
olahlah	do it
nyeri	pain
nyemburkan	scatter
nyanyikan	sing
nuraninya	his conscience
nista	disgrace
niscaya	certainly
nazarnya	his vow
nantinya	later
naluri	instinct
najislah	be unclean
nada	tone
murbei	mulberry
muara	estuary
minyakilah	oil it
minumanmu	your drink
meresmikan	inaugurate
merengek	whine
merembes	seep
meremas	squeeze
meratapinya	mourn him/her
merangkak	crawl
merampasnya	seize it
meramallah	predict
merahasiakannya	keep it a secret
meracuni	poison
menyusuri	walk along
menyusukan	breastfeed
menyombong	boast
menyogok	bribe
menyisir	comb
menyinarinya	shine it
menyimpulkan	conclude
menyiapkannya	prepare it
menyerbunya	stormed it
menyerapah	swear
menyebutnya	call it
menyebarkannya	spread it
menyapih	wean
menyanjung	flatter
menyabit	sickle
menteri	minister
menjauhlah	stay away
menjauhinya	stay away from it
menjamu	to entertain
menitipkan	entrust
menitahkan	to order
menindih	to overlap
meniduri	to sleep
mengutusmu	sending you
mengunjunginya	visit him/her
mengunjukkannya	show it
menguning	yellowing
mengulurkannya	extend it
menguliti	skinning
mengulanginya	repeat it
mengkilat	shiny
mengiringinya	accompany him/her
menginjakkan	step on
mengimpit	squeeze
menghisap	suck
menghiraukannya	ignore it
menghimpun	gather
menghimpitnya	squeeze it
menghijau	green
menghidupi	to support
menghentikannya	stop it
menghela	sigh
mengharapkannya	expect it
menggunakannya	use it
menggoyangkan	shake
menggoncang	shake
menggirangkan	to cheer up
menggenggam	grasp
menggelegar	to thunder
mengetok	knock
mengeluarkannya	take it out
mengelak	avoid
mengekang	restrain
mengejeknya	mock him/her
mengatupkan	close
mengasihaninya	pity him
mengarak	march
menganugerahi	award
mengantarnya	escort him/her
mengabarkannya	announce it
menetapkannya	set it
meneruskannya	continue it
menempelkan	to paste
menebak	guess
mendustai	lie
mendukungnya	support it
mendoakannya	pray for him
mendesaknya	urge him/her
menderulah	riot
mendendam	to hold a grudge
mendatangkannya	bring it
mencukupkan	suffice
menceraikannya	divorce him/her
mencegahnya	prevent it
mencedok	scoop
mencarikan	find
mencangkul	hoe
menaramu	your tower
menangkapmu	catch you
menanggap	to accept
menambahi	add
menaklukkannya	conquer it
memuncak	peak
mempertanggungjawabkan	hold accountable
mempersiapkannya	prepare it
mempersenjatai	arm
memperkenankan	allow
mempercayainya	believe it
memeteraikannya	seal it
memerciki	splash
memercik	splash
memeluknya	hug him/her
membidik	aim
membicarakannya	talk about it
membetulkan	correct
membelenggunya	shackle him
membangga	boast
mematuhinya	obey it
memanggang	roast
memamerkan	show off
meloncat	jump
melingkari	circle
melihatlah	look
melewatkan	skip
melentur	bend
melemparinya	throw it
melempar	throw
melawanmu	against you
melapisi	to coat
megahnya	magnificent
masaklah	cook
martil	hammer
mantra	spell
manggil	call
manfaatnya	the benefits
malamnya	the night
mahkotamu	your crown
maafkanlah	forgive me
lungsin	warp
lokasi	location
lintas	cross
lesung	mortar
lenyapkah	disappear?
lenganku	my arm
lempari	throw
lemahnya	weakness
leluasa	freely
lapangnya	spacious
lanjutkan	continue
langitku	my sky
landak	hedgehog
lamakah	how long
lahirlah	be born
kuturuti	I follow.
kutemui	I found
kusembunyikan	I hide.
kurampas	I steal.
kuperlukan	I need
kupenuhi	I fulfill
kuntum	flower
kunantikan	I look forward to it.
kuminum	I drink.
kumaksudkan	I mean
kuli	porter
kukehendaki	I want
kujawab	I answer.
kujadikan	I made
kuderita	I suffer.
kucium	kiss
kubebaskan	release
kuasailah	master it
kualami	I experienced
ku	my
kompleks	complex
kiamat	doomsday
keturunanmulah	your descendants
ketinggian	height
keterlaluan	exaggeration
ketemu	meet
ketegaran	rigidity
kesuraman	gloom
kesengsaraanku	my misery
kesegaran	freshness
kerubim	cherubim
kerjamu	your work
keringat	sweat
keretamu	your car
kerabatku	my relative
keputusanmu	your decision
kepungan	siege
kepuasan	satisfaction
keperawanan	virginity
kepadamulah	to you
kencana	funny
kemesumanmu	your innocence
kemenyannya	its smell
kemenangannya	his victory
kemampuanmu	your ability
kemalasan	laziness
kemalanganku	my misfortune
kemajuan	progress
kelu	dumb
kelicikan	cunning
kelemahanku	my weakness
kelamaan	later
kekallah	stay
keju	cheese
kejamnya	cruel
kehidupanmu	your life
kegiatan	activity
kegemilangannya	its glory
kegagalan	failure
kedudukanmu	your position
kecut	shrink
kecemerlangan	excellence
kecamlah	criticize
kebunku	my garden
keberadaan	existence
kebenciannya	his hatred
keangkuhannya	his arrogance
keangkuhanmu	your arrogance
kautinggalkan	you left
kauperintahkan	you ordered
kaupercayai	you believe
kaupecahkan	you broke it
kaupakai	you use
kaukerjakan	you work
kaujadikan	you made
kauingat	do you remember
kauhina	insult
kaudapati	you got it
kaucurahkan	you pour out
kaucari	you are looking for
kauangkat	you are welcome
kasutmu	your shoes
karungmu	your sack
kapaknya	the axe
kandungku	my womb
kalaupun	even if
kalahkanlah	defeat it
jingkrak	jump
jenggotnya	his beard
jelata	common people
jawabannya	the answer
jauhlah	stay away
jalankan	run
isilah	fill it in
isapan	suction
ipar	brother-in-law
injil	gospel
ingatannya	his memory
imanku	my faith
ikatlah	tie it
ibadatmu	your worship
ibadahnya	his worship
ibadahmu	your worship
hutannya	the forest
hukumnya	the law
hujatan	blasphemy
hosana	hosanna
hormatlah	be respectful
hiruk	hustle and bustle
hewanmu	your animal
hentikanlah	stop it
harapanmu	your hope
hapus	delete
handuk	towel
hambar	bland
haluan	bow
hakekatnya	essentially
hajat	wish
gundah	upset
guncang	shake
gugurlah	fall down
gerobak	cart
genggaman	grip
genggam	hand
gembalaku	my shepherd
geleng	shake
gegat	moth
gegas	fast
gantimu	your place
gajimu	your salary
fisik	physical
faham	understand
elukan	welcome
diyakinkan	convinced
diundi	voted
diulurkannya	he/she/it extended
diulurkan	extended
diucapkannyalah	he said it
dituruti	followed
diturunkannya	he/she/it was revealed
ditumbuk	pounded
ditulislah	be written
diterangkan	explained
ditenggelamkan	drowned
ditelanjangi	stripped naked
diteguhkan	confirmed
ditandai	marked
disumbangkan	donated
disukainya	he likes it
disuap	bribed
disiramkannya	he/she/it was poured
disiapkannya	it is prepared
diserakkan	scattered
disambungkan	connected
disalut	coated
dirus	managed
dirikanlah	stand up
diredakan	soothed
diratapi	mourned
dirasakan	felt
dirancang	planned
dirampoki	robbed
diramalkan	predicted
dipungut	collected
dipukulnya	he/she hit
dipersalahkan	blamed
diperhadapkan	confronted
diperdayakan	deceived
diperdamaikan	reconciled
dipercikkannya	sprinkled it
diperbaharui	renewed
dipaksakan	forced
dioles	smeared
diolahnya	processed
dinikahi	married
dimungkinkan	possible
dimuati	loaded
dimerdekakan	liberated
dimatikan	turned off
dimaafkan	forgiven
diluputkan	escaped
dilukai	injured
dilipat	folded
dilintasi	crossed
dilimpahkan	overflowing
dilempar	thrown
dilebur	melted
dikoyak	torn
dikirimnyalah	he sent it
dikikis	scraped
dikhususkannya	it is dedicated
dikenalnya	known
dikalungkan	necklaced
dikagumi	admired
dijahitkan	sewn
diintai	spied on
diikrarkan	pledged
dihidangkannya	served
dihiburkan	entertained
dihapus	deleted
digunting	cut
digulung	rolled up
digulingkan	overthrown
digoyangkan	shaken
digigit	bitten
didudukinya	occupied by him
didapatinyalah	he found it
diburu	hunted
dibunuhnyalah	he killed him
dibunuhlah	be killed
dibubuhnya	he/she/it put it on
dibolehkan	allowed
dibebani	burdened
dibaginya	divided
diaturnya	arranged it
diasuh	raised
dianugerahi	awarded
diancamkan	threatened
diambillah	take it
diakhiri	ended
diajak	invited
diairi	irrigated
diacungkan	raised
deritaku	my pain
dekatku	near me
dahulunya	formerly
curam	steep
contohnya	for example
cintaku	my love
celakaku	Woe to me!
cambukan	whip
cair	melt
buyungmu	your jar
busung	swelling
buruknya	the bad
bungsunya	the youngest
bukitmu	your hill
buka	open
bubar	disperse
bolong	vent
bisikkan	whisper
bicaramu	your speech
berukir	carved
bertumpu	concentrated
bertukarpikiran	change of mind
bertubuh	built
bertiuplah	blow
bersyukurlah	be grateful
bersukarialah	be happy
bersihkanlah	clean it
bersidang	convene
bersemarak	to shine
bersela	interrupt
bersalaman	shake hands
berputus	break up
berpuluh	dozens
berpidato	give a speech
berpangku	sit down
bermutu	quality
bermunculan	emerging
bermabuk	drunk
berlipat	folded
berlinang	teary-eyed
berlebihan	excessive
berkokoklah	crow
berjingkrak	prancing
beristeri	married
berikat	tied
berhasrat	intend
berfoya	splurge
berfaedah	beneficial
berenga	yellow
berembus	to blow
berdarah	bloody
bercukur	shave
bercemar	contaminated
berbuih	foamy
berbelit	convoluted
berahinya	lustful
berahimu	dream
belian	purchase
belat	splint
bawang	onion
bandingkan	compare
balaslah	reply
badanimu	your body
bacalah	read it
atasan	boss
asinnya	salty
asalkan	as long as
arahnya	its direction
anjuran	recommendation
amatilah	observe
alamiah	natural
akuilah	admit it
akalnya	his mind
akalmu	your mind
ajukan	propose
agamamu	your religion
administrasi	administration
Zalmon	Salmon
Yulia	Julia
Yuda	Judah
Yotbata	Yothbata
Yizrahya	Yizrahi
Yeriot	Yerioth
Yekamya	One day
Yafo	Jaffa
Tikwa	Tikva
Tikikus	Ticks
Syuni	Shuni
Syilem	Shilem
Syamua	Shamua
Syalom	Shalom
Sidim	Siddim
Sered	Drag
Seleukia	Seleucia
Satanas	Satan
Sakhar	Sugar
Risyataim	Rishyataim
Prakata	Foreword
Potifera	Potiphar
Pikirlah	Think about it.
Pendahuluan	Introduction
Patutkah	Should it be?
Mitredat	Mithredath
Maleakhi	Malachi
Lusifer	Lucifer
Lo	Hey
Kuturunkan	I'll take it down.
Kutambah	I added
Kusyi	Cushi
Kuserakkan	I scatter
Kumusnahkan	Destroy
Kukuduskan	Sanctify
Kukenyangkan	I'm full.
Kukasihani	I love you.
Kuhamburkan	I scatter
Konanya	The corner
Kineret	Kinneret
Kerit	Scream
Kautetapkan	You set
Kaujaga	You are welcome.
Kauhukum	You judge.
Kaubuang	You are gone.
Kauawasi	You are watching.
Kaftor	Caphtor
Inggris	England
Ikabod	Ichabod
Hosaya	Hosea
Helkat	Hellcat
Helek	Hell
Haezer	Hazer
Gigimu	Your teeth
Gadi	Gaddi
Eutikhus	Eutychus
Epikuros	Epicurus
Enyahkan	Remove
Elisua	Elishua
Elisafan	Elizaphan
Eben	Ebony
Drusila	Drusilla
Diotrefes	Diotrephes
Diblataim	In the past
Bezai	Different
Bersatulah	Unite
Beera	Beer
Azor	Azores
Aristarkus	Aristarchus
Apius	Appius
Almon	Almond
Allahmulah	Your God.
Aduhai	Alas!
Abadon	Abaddon
yakut	Yakut
warisi	inherit
wafat	died
ususnya	his intestines
usirlah	expel
urapi	anointing
uraiannya	the description
unsur	element
unggun	camp
umpamanya	for example
ulur	stretch
ukurlah	measure it
turunkan	lower
turunan	derivative
tupai	squirrel
tuntutannya	his claim
tuntunan	guidance
tunanganmu	your fiancé
tumpas	destroyed
tukangnya	the craftsman
tujukan	address
tujuanku	my goal
tubir	cliff
tuankulah	you are mine
tuangkan	pour
tualah	old man
tuai	harvest
topang	support
tombolnya	the button
tinjunya	his fist
tingkatnya	the level
tikamlah	stab
teruskanlah	continue
terusan	canal
terunamu	your youth
teruji	tested
tertiup	blown away
terserah	up to you
tersentuh	touched
terselubung	veiled
tersapu	swept away
tersambung	connected
tersalib	crucified
terpadamkan	erased
teror	terror
terlihatlah	look
terkabul	granted
terjual	sold
teristimewa	special
terisi	filled
terhenti	stopped
terhampar	spread out
terhambat	obstructed
terdiam	silent
tercipta	created
terbelahlah	split
terarah	directed
terangkanlah	explain
tengkukku	my neck
tenanglah	calm down
temali	rope
telan	swallow
telaah	study
teberau	many
tebanglah	cut it down
taring	fangs
tanyakanlah	ask
tangisilah	cry
tanggunglah	take responsibility
tandukmu	your horn
tandingannya	its counterpart
tandas	toilet
talam	tray
takutnya	afraid
tahta	throne
tahirkanlah	purify
tabuhan	wasp
susunya	the milk
susul	follow
surutlah	recede
sungutmu	your complaint
sungguhlah	really
sulitnya	the difficulty
suapan	feed
sombongkan	boast
sistem	system
sisikmu	your scales
siput	snail
sinagoge	synagogue
simbol	symbol
siapapun	anyone
setujui	agree
setalenta	one talent
sesamaku	my neighbor
seringkali	often
serdam	soldier
seputih	as white as white
seperenam	one-sixth
sepatumu	your shoes
sepantasnyalah	as appropriate
senyap	silent
seniman	artist
semestinya	necessarily
semerah	as red as
semena	just like that
semangatmu	your spirit
semangatku	my spirit
seluas	as wide as
selidikilah	investigate
selempang	sash
sekoi	millet
sekeluarga	family
sejenak	for a moment
sehubungan	in relation to
seharian	all day
sedinar	one dinar
sedihlah	be sad
sediakala	ready
sedapan	snack
secantik	as beautiful as
sebakul	basket
sambar	catch
salut	salute
salinannya	copy of it
