'tween	在中間
cryptanalytic	關於暗號的
cryptanalytics	密碼學
cryptical	秘密的
cryptographical	關於暗號的
cryptologic	關於暗號的
cryptological	關於暗號的
cryptologist	譯解密碼者
cryptology	密碼學
Cryptoprocta ferox	小窩
cryptorchidy	隱睪症
cryptorchism	隱睪症
crystal rectifier	兩極管
crystalise	澄清
crystalised	糖煮的
crystalize	澄清
crystalized	糖煮的
crystalline lens	透鏡
crystallisation	結晶化
crystallise	澄清
crystallizing	結晶化
Cs	銫
Cu	銅
Cuban itch	亞天花
Cuban peso	比索
Cuban sandwich	轟炸機
cube-shaped	立方體的
cubeb cigarette	蓽澄茄
cubeb vine	蓽澄茄
cubelike	立方體的
cubic centimeter	千分之一公升
cubic centimetre	千分之一公升
cubic decimeter	公升
cubic decimetre	公升
cubic meter	千升
cubic metre	千升
cubic yard	碼
cubiform	立方體的
cubistic	立體派藝術家
cubital joint	手肘
cuckoo's nest	精神病院
cuckoo bread	酢漿草
cucumber vine	黃瓜
Cucumis melo	甜瓜
Cucumis melo cantalupensis	香瓜
Cucumis sativus	黃瓜
Cucurbita pepo	南瓜
cuddling	接吻的
cue stick	提示
cuke	黃瓜
cul	盡頭
cul de sac	盡頭
culinary art	烹調風格
cull out	揚穀
cullender	濾器
culpableness	苛責
cultism	熱愛
cultivated cabbage	甘藍
cultivated carrot	胡蘿蔔
cultivated celery	芹菜
cultivated land	農田
culture medium	媒體
cultus	禮拜
cumbersomeness	笨拙
cumin seed	時蘿
Cuminum cyminum	時蘿
cumquat	金橘
cumulation	堆
cumulonimbus cloud	積雨雲
cumulus cloud	積雲
cunctation	延遲
cunctator	拖延者
cuneal	楔形的
cuneus	楔子
cunnilinctus	舔陰
cunt	母狗
Cuon alpinus	一種野狗
Cupid's disease	性病
Cupid's itch	性病
cupric acetate	銅綠
cuprous	銅的
curb bit	抑制
curbing	抑制
Curcuma domestica	薑黃
Curcuma longa	薑黃
curdled	使凝結
curdling	凝結
cured	弄成細粒的
curing	硬化
curled	蘇格蘭的冰上擲石遊戲
curly endive	菊苣
curmudgeonly	有硬殼的
currant bush	葡萄乾
current of air	風
currentness	通貨
currishly	卑鄙地
curse word	詛咒
cursedly	打入地獄的
cursive script	普通寫法
cursively	連接的
curst	被詛咒的
curtain raising	開始
curtainless	沒有窗帘的
curvaceousness	像樣子
curve ball	曲線
curved shape	曲線
curvey	彎曲的
curving	彎曲的
cushioning	墊充
cusk	鱈
cuspated	尖的
cusped	尖的
cuspidal	尖的
cussed	頑固的
cussedly	倔強地
custom-built	定做的
custom-made	習慣
custom-make	定做
customise	定做
customshouse	海關
cut-in	插入物
cut-rate sale	賣
cut-up	玩皮的人
cut back	反射
cut down	減少
cut into	刺
cut of meat	傷口
cut off	中斷
cut price	便宜
cut up	刻
cutaneal	皮膚的
cutaneous senses	觸
cutaway drawing	常禮服
cutaway model	常禮服
cutlas	短劍
cutting-edge	最近的
cutting edge	前鋒
cutting off	切斷
cutting out	脫落
cutting tool	切割者
cuttle	墨魚
CV	履歷
CVA	打
cwm	圓形場地
cwt	重量單位
cyanuramide	密胺
cybernate	用電腦處理
Cyclamen purpurascens	櫻草屬之植物
cycle per second	赫
cycle rickshaw	三輪車
cycles/second	赫
cyclic disorder	循環性精神病
cyclical	圓的
cyclicity	定期
Cycloloma atriplicifolium	風滾草
cyclonal	氣旋的
cyclonical	氣旋的
cyclopaedia	百科全書
cyclorama	全景畫
cyclothymic disorder	循環性精神病
Cydonia oblonga	一種薔薇科植物
Cygnus buccinator	喇叭手
Cygnus cygnus	高喊者
cylinder block	街區
cylindrical lining	軸襯
cymograph	波動曲線記錄儀
Cynara scolymus	朝鮮薊
Cynoscion regalis	犬牙石首魚
Cyperus papyrus	紙草
cypress tree	柏
cyprian	妓女
Cypriot pound	磅
cytoarchitectonics	細胞結構
cytol	細胞質
cytologic smear	污點
cytoplasmatic	細胞質的
cytosmear	污點
czaristic	俄國帝制的
czaritza	沙皇皇后
d.j.	唱片音樂節目主持人
dabbling duck	戲水者
dachsie	達克斯臘狗
Dactylopius coccus	蟲紅
dada	爸爸
daddy longlegs	收割者
daemon	魔王
dag	公錢
dah	衝撞
Dahlia pinnata	大理花
daikon	小蘿蔔
daily round	一輪
daimon	魔王
dairy cow	乳牛
dairy farmer	酪農業者
daishiki	大喜吉裝
daisy cutter	碎裂彈
dal	十升
Dalbergia nigra	藍花楹屬之樹
dallier	憂鬱的人
Dalmatia pyrethrum	除蟲菊
Dalmatian pyrethrum	除蟲菊
dalo	芋頭
dam up	水壩
damaging	有害的
damnatory	毀滅的
damoiselle	少女
damosel	少女
damozel	少女
dampish	濕氣
damselfish	閨女
damson plum	西洋李子
Danaus plexippus	帝王
dance band	帶
dance hall	舞廳
dance orchestra	帶
dance palace	舞廳
dance step	腳步
dandified	紈褲子弟的
dandily	好時髦的男子
dandle board	蹺蹺板
dandy fever	登革熱
dandyish	紈褲子弟的
dangerous undertaking	冒險
dangling	懸掛
Danish krone	克朗
danish pastry	丹麥語
danse du ventre	肚皮舞
danse macabre	象徵死亡的舞蹈
dapperness	高興
dark-brown	褐色
dark-field microscope	超顯微鏡
dark-green	綠色
dark-skinned	微暗的
dark blue	海軍
dark bread	黑饅頭
darned	枯萎的
darning needle	蜻蜓
das	兔子
dash down	匆忙完成
dasheen	芋頭
dashing hopes	失望
dassie	兔子
Dasyprocta aguti	刺鼠
data-based	實驗的
data format	開本
data formatting	開本
data link	環
data processor	電腦
data track	行蹤
date-mark	書信中寫明的日期與地點
date back	回去
date from	回去
date line	書信中寫明的日期與地點
date of reference	新紀元
date stamp	日期
datemark	書信中寫明的日期與地點
dative case	與格
Datura stramonium	曼陀羅
daubing	塗灰泥
Daucus carota sativa	胡蘿蔔
daunting	嚇人的
dauntlessly	無畏地
dauntlessness	大膽
Davy Jones	海底
Davy Jones's locker	海底
Davy lamp	礦燈
daw	穴鳥
dawdling	調戲
dawning	黎明
day-after-day	日報
day-and-night	日夜不斷的
day-by-day	日報
day-to-day	日報
day book	吸墨紙
day care center	日間託兒所
day in and day out	一直
day labourer	做零工的工人
Day of Judgement	結帳日
Day of Judgment	結帳日
day of remembrance	周年紀念
day of rest	休息日
day of the month	日期
day watch	日班
daydreaming	夢想
dayfly	蜉蝣類
daylong	整天
dayspring	黎明
daystar	晨星
dazed	愚蠢的
dazedly	麻痺地
Db	分貝
DBA	化名
de-escalate	削弱
de-ice	將...除霜
de-Nazification	消滅納粹化
dead-end street	死胡同
dead body	身體
dead centre	死點
dead hand	永久營業
dead hand of the past	永久營業
dead mail	無法投遞的郵件
dead on target	真實
dead person	已故的
dead reckoning	猜測
dead ringer	投環者
dead room	太平間
dead set	傾向#愛好
dead soul	已故的
deadbolt	閂
deadened	死者
deadly nightshade	顛茄
deaf-and-dumb person	啞子
deaf-mute	啞子
deaf as a post	完全耳聾的
deal out	分發
dealings	交通
dearest	所愛的人
dearly-won	昂貴的
deary	親愛的
death chair	電椅
death penalty	實行
death row	死囚行刑前的監房
death tax	遺產稅
deathwatch beetle	臨終看護
deb	初入社會之少女
debased	攙雜
debasing	降低品格的
debauched	墮落者
debaucher	違背者
debenture bond	公司債券
debile	衰老的
debilitated	無力的
debilitation	無活力
debit entry	借方
debitor	借方
debone	骨頭
deboned	骨骼的
debonnaire	殷勤的
debt instrument	義務
debunking	拒絕
Dec	下傾
decadency	墮落
decalitre	十升
decametre	十米
decarbonise	除去碳素
decarburise	除去碳素
decarburize	除去碳素
decayable	能夠被損壞的
decayed	腐爛的
deceased person	已故的
deceivingly	誤導地
decentalisation	地方分權
decentralisation	地方分權
decentralise	使分散
deceptively	誤導地
deciduous tooth	乳齒
decilitre	分升
decimal number system	十進位
decimal numeration system	十進位
decimalisation	十進制化
decimalise	使作十進位
decimetre	分米
decipherably	易讀地
decipherer	譯碼員
decision maker	管理人
decision making	決定性的
decisive factor	緊鉗
deck of cards	艙面
deck out	穿著過分講究
deck up	穿著過分講究
deckhand	碼頭工
deckle-edged	薄邊的
deckled	薄邊的
declarative mood	指示的
decline in quality	惡化
declivitous	下坡
decoagulant	抗凝血劑
decoct	熬濃
decoke	除去碳素
decollate	斬首
decolonisation	非殖民地化
decolonise	使非殖民化
decolorise	漂白
decolorize	漂白
decolour	漂白
decolourise	漂白
decolourize	漂白
decomposable	可被分析的
decomposition reaction	分解
decompressing	減壓
decompression sickness	氣泡栓塞症
deconcentrate	使分散
deconsecrate	供俗用
decoratively	裝飾性的
decorousness	端正
decreased	減少了的
decreed	任命的
decriminalisation	合法化
decriminalise	法律上認為正當
decrypt	解碼
decubitus ulcer	褥瘡
decumbent	靠著的
deductive reasoning	減除
deed of conveyance	行為
deed of trust	信託書
deed over	授予
deep-dish pie	皮匠
deep-eyed	眼窩凹陷的
deep-freeze	製霜淇淋的機器
deep-fried	油炸的
deep-rooted	根深蒂固的
deep-seated	根深蒂固的
deep-set	沈沒的
deep brown	巧克力
deep freezer	製霜淇淋的機器
deep red	深紅色
deepening	增厚
Deepfreeze	製霜淇淋的機器
deer fly fever	兔熱病
defamer	誹謗者
default on	缺席
default option	缺席
defeated	失望的
defecator	放棄
defence force	防禦
defence reaction	防衛機制
defenceless	無防禦的
defencelessly	無防禦的
defencelessness	無防禦
defendable	可防衛的
defending team	防禦
defense force	防禦
defense lawyers	防禦
defense reaction	防衛機制
defense team	防禦
defensive attitude	防衛的
defensive measure	防禦
defensive structure	防禦
defensively	防衛的
deficit spending	以政府資金促使經濟發展
defiled	玷污
defiler	污染者
deflated	沮喪的
deflexion	偏斜
defoliated	使落葉
defrauder	騙子
defunctness	消失
degage	超然的
degenerative arthritis	骨關節炎
degenerative joint disease	骨關節炎
degraded	墮落者
dehumanisation	失去人性
dehumanise	使失人性
dejectedness	低下
dejeuner	午餐
dekaliter	十升
dekalitre	十升
dekameter	十米
dekametre	十米
delectability	美味
delegating	代表團
deli	熟食店
deliberateness	緩慢
delicatessen food	熟食店
delimited	有界限的
delineated	描繪...的輪廓
deliquium	昏暈
delivery boy	遞送人
deliveryman	遞送人
Delonix regia	輝耀的
Delphinapterus leucas	白色大鰉魚
Deltasone	強體松
deltoid muscle	三角肌
delusory	迷惑的
demagnetisation	除去磁性
demagnetise	消磁
demagog	煽動者
demagogical	煽動的
demandingly	要求多的
demarcation line	界限
demasculinise	閹割
demasculinize	閹割
demeanour	舉動
dementedness	癡呆
dementia praecox	精神分裂症
demilitarise	解除武裝
demineralise	去除礦物質
demo	示範
demob	使復員
demobilisation	復員
demobilise	使復員
democratisation	民主化
democratise	民主化
demographist	人口統計學家
demonetisation	收回通貨
demoniacally	極其激動地
demoralisation	道德敗壞
demoralise	使腐爛
demoralising	使士氣低落的
demureness	怕羞
demythologise	除去...的神話色彩
denary	十倍地
denationalisation	開除國籍
denationalise	剝奪...的國籍
denaturalise	使不自然
Dendranthema grandifloruom	菊花#媽咪#馬姆酒
dendroidal	樹木的
dengue fever	登革熱
denigrating	中傷的
denigrative	中傷的
denigratory	中傷的
Denisonia superba	銅頭蛇
denominationalism	宗派主義
denotive	指示的
denouncement	譴責
densification	壓緊
dental amalgam	汞齊
dental caries	洞
dental consonant	齒槽音
dental medicine	牙科醫學
dental orthopaedics	齒科矯正術
dental orthopedics	齒科矯正術
dental plate	一副假牙
dental practitioner	牙科醫生
dented	傾向#愛好
denudate	使裸露
denuded	禿頭的
denumerable	能算的
denunciative	威嚇的
denunciatory	威嚇的
deodar cedar	喜馬拉雅雪杉
deodorise	除臭
deodourant	除臭藥
deodourise	除臭
deoxidise	減少
deoxidize	減少
deoxycytidine	胞啶
deoxyephedrine	甲基苯丙胺
deoxythymidine	胸甘
departer	離開者
dependableness	可信任
dependance	沈溺
dependant	依賴他人者
dependant on	偶然的事情
dependant upon	偶然的事情
dependent clause	附屬子句
dependent on	偶然的事情
dependent upon	偶然的事情
depending on	偶然的事情
depersonalisation	失去人性
depersonalisation disorder	失去人性
depersonalisation neurosis	失去人性
depersonalise	使失去人性
depersonalization disorder	失去人性
depersonalization neurosis	失去人性
depicted object	題目
depicting	描寫
depictive	描繪的
depilator	脫毛藥
depleted	低水平
deplumate	勇氣
deplume	勇氣
depolarisation	去極
deposer	證人
depository financial institution	銀行
depository library	圖書館
deprecating	表示歉意的
deprecative	表示歉意的
depreciating	跌價的
depreciative	跌價的
depreciator	誹謗者
depressive disorder	不景氣
depressor muscle	抑壓者
depressor nerve	抑壓者
depressurise	使解除壓力
depressurize	使解除壓力
depth gage	深度計
depth psychology	心理分析
deputise	代替
deputy sheriff	代理人
deracinate	連根拔起
deracination	移置
derange	使失去平衡
derby hat	玩滾球的人
deregulating	撤銷管制規定
derivative instrument	引出之物
derived function	引出之物
deriving	誘導
dermatomycosis	皮真菌病
dermatosclerosis	硬皮病
Dermochelys coriacea	棱龜
desalinisation	去鹽作用
desalinise	除去...中的鹽分
desalt	除去...中的鹽分
descale	刻度
descendants	子孫
descensus	下垂
descriptive anthropology	民族誌學
descriptor	形狀
desegrated	沒有種族隔離的
desensitise	減少感光性
desert boot	高統靴
deserving	價值
deservingness	優點
desex	殺菌
desexualise	使無性能力
deshabille	便裝
desiccated	乾燥的
desirableness	可取
despairing	情急拼命的
desperate criminal	暴徒
despicability	卑劣
despicableness	卑劣
despitefully	懷恨地
despoilation	戰利品
despoiler	掠奪者
despotical	專制的
destroyed	毀滅的
destructive metabolism	異化作用
details	內部資訊
detecting	察覺
detective work	察覺
detent	棘爪
detention camp	拘留所
detention cell	牛欄
detention centre	牛欄
detention home	拘留所
detergent builder	建築者
determining	決定性的
determining factor	決定因素
deterrent example	例子
dethaw	分解
detonating device	雷管
detox	使解毒
detoxicate	使解毒
detusk	長牙
deuce-ace	三
deucedly	發狂地
deuterium oxide	重水
Deutsche Mark	痕跡
Deutschmark	痕跡
devastating	使乾枯的
developmentally challenged	智力遲鈍者
deverbal noun	動名詞
device characteristic	特性
devil's apples	曼德拉草
devil's darning needle	蜻蜓
devil-may-care	無憂無慮的
devil dog	海軍陸戰隊員
devilfish	章魚
devisal	發明
devising	製造
devitalise	奪去生命
devolve on	依靠
devolvement	相傳
Devonshire cream	濃縮奶油
devotedness	熱愛
devouring	熱望的
dew worm	蚯蚓
dewberry bush	懸鉤子之類
dewy-eyed	孩子似的
dextrously	巧妙地
dg	公銖
diacritical mark	區別發音符號
diaglyph	陰刻
diagnosing	診斷
dialectically	論理的推論
dialyse	透析
dialysis machine	透析器
diam	直徑
diamante	金幣
diametral	直徑的
diametrical opposition	對蹠的
diamond wedding anniversary	鑽石婚
diamondback rattlesnake	菱形斑紋
dianoetic	散漫的
Dianthus caryophyllus	荷蘭石竹
diapason stop	和諧
diaphragmatic pleurisy	瞳孔縮小
diaphyseal	骨幹的
diary keeper	記日記的人
diatomaceous earth	矽藻土
dibbuk	猶太傳說中會附在人身的惡魔
dibrach	出征舞
Dicentra spectabilis	軟心腸的
dichloride	二氯化合物
dichloroethyl sulfide	芥子氣
dichotomously	分成兩個的
dichromacy	二色
dichromasy	二色
dichromatopsia	二色
dichromia	二色
dickens	魔王
dickey-seat	假襯胸
dickhead	屁眼
dickie	假襯胸
dickie-seat	假襯胸
dicky-seat	假襯胸
dicot	雙子葉植物
dictated	堅決的
didactical	教誨的
didactics	教育
didder	搖動
diddley	插座
diddly	插座
diddly-shit	插座
diddly-squat	插座
diddlyshit	插座
diddlysquat	插座
die back	減弱
die hard	流行
dielectrolysis	電泳
diesel motor	柴油機
dietetical	規定的食物
diethyl ether	乙醚
diethylbarbituric acid	巴比妥
diethylmalonylurea	巴比妥
diethylstilbestrol	己烯雌酚
diethylstilboestrol	己烯雌酚
dieting	飲食
differential cost	邊際成本
differential gear	差別
differentially	差別
differentiator	鑑別者
difficultness	困難
diffraction grating	光柵
diffused	軟的
diffusing	散佈性的
digestibleness	消化性
digging up	掘屍
digital scanner	掃描器
digitalis glycoside	洋地黃
digitalisation	洋地黃療法
digitalise	數位化
digitately	有指的
digitigrade mammal	趾行的
digitise	數位化
digram	二合字母
dihydric alcohol	乙二醇
dihydroxyphenylalanine	二羥基苯丙氨酸
dilettanteish	業餘愛好者
dilettantish	業餘愛好者
dill weed	蒔蘿
dilly-dallier	憂鬱的人
dilly-dally	延遲
dillydallier	憂鬱的人
dilutant	稀釋液
diluted	稀釋
dim-sighted	半盲的
dim-witted	單一體
dime bag	一角硬幣
dimethyl ketone	丙酮
diminished	浪費的
diminutiveness	仔細
dimmed	使變暗淡
dimout	燈火管制
dimpled chad	酒窩
dinero	一群
dingdong	鐘聲#一擊
dinge	骯髒
dining-room	飯廳
dining compartment	餐車
dining table	木板
dinkey	極小的
dinner dress	正式的社交活動
dinner gown	正式的社交活動
diol	乙二醇
dioptre	屈光度
Diospyros ebenum	黑檀
dip circle	傾角羅盤
Diplococcus pneumoniae	肺炎球菌
diplomatic minister	部長
diplomatic negotiations	外交
diplomatical	外交的
dipole antenna	雙極
dipped	脊柱前凸的
direct contrast	對比
direct electric current	直流電流
directing	方向的
directionless	漂浮著
dirt ball	蟲
dirt bike	爬行者
dirty dog	無賴
dirty laundry	家醜
dirty money	戰利品
dirty word	猥褻
disaccord	不一致
disafforest	採伐森林
disappearing	消失
disarmer	和平主義者
disarming	裁軍
disarticulate	脫節
disbelieving	懷疑論的
disbelievingly	不相信地
disc-shaped	鐵餅狀的
disc drive	磁碟機
discalceate	未穿靴的
discalced	未穿靴的
discant	歌
discarded	廣告傳單
discase	使脫衣服
disceptation	論爭
discernability	易讀性
discerp	肢解
disciplinal	改善法
disclike	鐵餅狀的
disco biscuit	狂喜
disco music	小舞廳
discolorise	漂白
discolorize	漂白
discolour	使脫色
discolouration	污染
discolourise	漂白
discombobulate	使迷惑
discombobulation	混亂
discomfited	失望的
disconcertion	崩潰
disconcertment	崩潰
disconfirming	否定
disconnectedness	分離
discorporate	無體的
discount house	廉價商店
discount store	廉價商店
discoverable	可查明的
discreditably	不光彩地
discreteness	不同
discriminative	有辨識力的
discriminative stimulus	提示
discussion section	切下的部分
disdainfulness	高傲態度
diseased person	病患
disembarkment	登陸
disembarrass	使免除
disembodied spirit	精神
disembowelment	取出內臟
disembroil	解開
disenfranchised	無聲的
disfavour	不贊成
disfiguration	毀容
disforest	採伐森林
disforestation	砍伐森林
disfranchised	無聲的
disfunction	機能不良
disgorgement	嘔吐
disgracefulness	可恥
disguised	戴假面具的
disgustful	令人厭惡的
disgustingness	不好吃
dish-shaped	盤狀的
dish aerial	盤子
dish antenna	盤子
dish the dirt	閒話
dish towel	乾毛巾布
dish up	發球
dish washer	洗碗機
disheartening	使士氣低落的
disheartenment	氣餒
dished	盤狀的
dishevel	攪亂
dishevelled	頭髮凌亂的
dishful	盤子
dishonourably	不光彩地
dishware	陶器
dishwashing machine	洗碗機
disincentive	制止
disingenuously	有技巧地
disintegrable	能夠或適於鎔化的
disinvolve	解開
disjoined	分隔
disjunct	孤立的
disjunction	分離
disjuncture	分離
disk-shaped	鐵餅狀的
disk jockey	唱片音樂節目主持人
disk overhead	經常費用
disk shape	圓
disklike	鐵餅狀的
dislocated	脫節的
dislogistic	輕蔑的
dismantlement	拆開
dismantling	拆開
dismayed	驚駭的
dismaying	駭人的
dismission	免職
disorderly behavior	妨害治安
disorderly conduct	妨害治安
disorganisation	組織的破壞
disorganise	擾亂
disorganized schizophrenia	青春期癡呆
disorganized type schizophrenia	青春期癡呆
disorientate	使失去方向感
disoriented	困惑的
disparager	誹謗者
dispassionateness	不動感情
dispersed	傳播
dispersive	散佈性的
dispiritedly	無望地
dispiritedness	低下
dispiriting	使士氣低落的
displacement reaction	移置
display board	木板
display case	箱
display panel	木板
display window	陳列窗
displaying incompetence	不勝任地
displume	勇氣
dispraise	輕視
disprover	反駁者
disputatiously	激辯地
disputative	好爭吵的
disquieted	哀傷的
disregarding	不注意的
disregardless	不注意的
disreputably	名譽不好的
disruptively	分裂性的
diss	侮辱
dissatisfactory	使失望的
dissected	裂縫
dissembling	假裝
disseminated multiple sclerosis	多發性硬化
disseminated sclerosis	多發性硬化
disseminative	散佈性的
disseminator	宣傳者
dissentious	區分的
dissertate	談話
dissociable	可分離的
dissoluble	可溶解的
dissoluteness	不能自製
dissolvent	溶劑
dissolver	溶劑
dissolving agent	溶劑
dissymmetry	不對稱
distastefully	討厭地
distastefulness	不好吃
distill	使純淨
distillment	蒸餾
distinctive feature	特質
distinctiveness	特質
distinguishing characteristic	特質
distorted shape	扭曲
distracted	心不在焉的
distressfulness	嚴肅性
distressingness	痛苦
distributer	播送者
distribution channel	水道
distributor point	點
distrustfully	不信任地
distrustfulness	不信任
disturbance of the peace	妨害治安
disunite	使分離
disunited	分離的
disused	荒廢的
dit	點
ditto mark	同上
diuretic drug	利尿劑
divan bed	坐臥兩用長椅
divergency	分歧
divergent strabismus	角膜白斑
diverging	分歧的
diversionary attack	轉移
divertingly	有趣地
divided up	分離的
divinatory	女算命師的
divine guidance	靈感
divine revelation	顯示
divine right of kings	神授的權力
divine service	服務
diving dress	潛水衣
diving event	潛水
divining rod	探礦者
divinity fudge	神
divinyl ether	乙醚
divorced man	暫時獨居的男子
divulgement	洩漏
divvy up	一份
diwan	長沙發椅
dizygous	雙接合子性的
djinn	妖怪
djinni	妖怪
djinny	妖怪
dkg	公錢
dkl	十升
dkm	十米
dl	分升
DM	糖尿病
do-nothing	懶惰者
do-or-die	情急拼命的
do drugs	藥
do it	愛
do work	工作
dock-walloper	裝卸工人
dock worker	裝卸工人
dockhand	裝卸工人
docking facility	碼頭
docking fee	船塢使用費
dockworker	裝卸工人
doctor's degree	博士頭銜
doctor up	久經世故的人
doctorial	博士的
doctrine of analogy	類似
documentary film	記錄片
dodging	逃避
dog's-tooth violet	犬齒
dog-eared	有耳的
dog-iron	柴架
dog collar	噎住的人
dog house	狗舍
dog pound	磅
doggerel verse	打油詩
dogshit	胡說
dogsled	軟糊狀食物
dogtooth violet	犬齒
dogwood tree	水木
dogy	迷途小牛
doh	做
Doing Business As	化名
doings	行為
dole out	分發
dolichocranial	長頭的
dolichocranic	長頭的
dollar bill	元
dollar mark	元
dollar sign	元
dollar volume	翻倒
dolled up	穿好衣服的
dolman jacket	女斗篷
dolophine hydrochloride	美沙酮
dolour	悲哀
dolourous	憂傷的
dolphin striker	馬頷韁
dolphinfish	海豚
doltishly	愚蠢地
domain of a function	領土
domed stadium	圓屋頂
domestic ass	驢子
domestic dog	狗
domestic fowl	鳥
domestic science	家政學
domesticise	馴養
domesticize	馴養
dominant allele	全階第五音
dominating	優勢
domine	牧師
dominee	牧師
domineeringly	極權的
Dominican peso	比索
dominos	骨牌遊戲
dominus	牧師
donjon	生計
donkeywork	苦差事
donnish	大學教師
doodlebug	飛彈
doodly-squat	插座
doofus	傻瓜
doojigger	便宜貨
doomed	失去的
door guard	看門的人
door latch	門閂
doorhandle	門把
doorknocker	敲擊者
doorstopper	制止門過開之物
Dopastat	多巴胺
dope off	睡著
dope up	吸毒者
doppelzentner	重量單位
dopy	像鵝的
dork	猛然地一拉
dorm	宿舍
dorm room	宿舍
dormer window	天窗
dormitory room	宿舍
dosemeter	放射量測定器
doss	相撞
doss down	相撞
dosshouse	廉價旅館
dot printer	點陣印表機
doting	喜歡的
dottily	愚蠢地
double-chinned	下顎寬厚的
double-crosser	背叛者
double-dealer	背叛者
double-dealing	口是心非
double-dyed	極惡的
double-entry bookkeeping	復式記錄
double-faced	兩手俱利的
double-tongued	兩手俱利的
double-u	字母W
double back	返回
double birdie	鷹
double decomposition	音位轉換
double decomposition reaction	音位轉換
double Dutch	十字記號
double feature	雙車頭火車
double over	兩倍
double quick	雙倍工資
double star	一雙
double up	兩倍
double vision	複視
doubled	兩倍
doubting	審問
doubtlessly	無庸置疑地
douche bag	灌注法
doughnut-shaped	環狀的
dousing	淹沒
dovetail joint	楔形榫頭
dowdiness	單調乏味
dowel pin	木釘
dowery	嫁妝
Down's syndrome	蒙古症
down-to-earth	土的
down feather	倒楣事
down in the mouth	黑暗的
down pat	倒楣事
Down syndrome	蒙古症
down the stairs	在樓下
downheartedness	低下
downiness	羽毛被覆狀
downlike	絨柔的
downrightness	坦率
downsizing	緊縮
downslope	降落
downstair	在樓下
downward-sloping	下坡
downwardly	倒楣事
dowsing	用卜杖探尋水源
dowsing rod	探礦者
doxy	妾
doyley	小型裝飾桌巾
doyly	小型裝飾桌巾
doze off	睡著
dozens	大量
dozer	推土機
DP	難民
Dr.	醫生
drably	褐色布
Dracocephalum parviflorum	薄荷屬植物
draft copy	氣流
drafting	圖畫
drafting board	製圖板
drafting table	繪圖板
draftsperson	起草者
drag a bunt	抵撞
drag in	使捲入
drag on	拖
drag one's feet	延遲
drag one's heels	延遲
drag out	拖
drag through the mud	惡意中傷
draggle	變髒
dragon's head	薄荷屬植物
drain the cup	喝光
drainage area	江河流域
drainage basin	江河流域
drained	筋疲力盡的
Dramamine	乘暈寧
dramatic art	演技
dramatic event	戲劇
dramatic play	遊戲
dramatis personae	演員陣容
dramatisation	編劇
dramatise	使戲劇化
dramaturgy	演技
draped	在戀愛中的
draughts	西洋跳棋
draughtsman	起草者
draw a bead on	熱望
draw a line	劃一界線
draw and quarter	平局
draw away	脫下
draw close	摟抱
draw in	縮回
draw off	脫下
draw play	平局
draw poker	平局
draw together	結合
drawers	襯褲
drawing card	平局
drawing off	圖畫
drawing pin	圖釘
drawing string	帶
drawn-out	廣大的
dreaded	嚇人的
dreadfulness	威嚴
dreadnaught	無畏戰艦
dreamfully	夢幻般地
dreaming	夢
dreamworld	想像中的地方
dreck	劣質
drenched in	濕透的
drenching	鹽汁
dress circle	圓周
dress down	指責
dress hanger	掛衣服的架子
dress hat	火爐的煙囪
dress out	女裝
dress shop	流行女裝商店
dressed-up	穿好衣服的
dressed ore	集中
dressed to the nines	穿好衣服的
drib	滴
dribbler	淌口水的人
dribbling	點滴
dried-up	乾枯的
dried milk	奶粉
drift away	慢慢的分離
drift off	睡著
drifting	無目的的
drill hole	孔
drink down	一飲而盡
drinking chocolate	可可粉
drinking glass	玻璃
drinking straw	稻草
drip mold	滴下
drip mould	滴下
drippage	滴
drippiness	多愁善感
drive around	司機
drive off	開車外出
driver's licence	駕駛執照
driving force	駕車
driving licence	駕駛執照
driving license	駕駛執照
drogue chute	風向指示筒
drogue parachute	風向指示筒
Dromaius novaehollandiae	食火雞
drome	機場
drone on	雄蜂
drone pipe	雄蜂
droning	單調
drooler	淌口水的人
drooping	鋪砌石板
drop-kick	踢反彈球
drop-off	暴跌
drop away	滑動
drop back	拖
drop by	順便拜訪
drop by the wayside	脫離
drop cloth	滴
drop curtain	滴
drop down	水槽
drop earring	耳墜
drop keel	活動船板
drop off	睡著
drop scone	薄煎餅
drop the ball	違背習俗
dropped egg	荷包蛋
droppings	糞
Drosophila melanogaster	果蠅
drouth	乾旱
drove chisel	畜群
drowse off	睡著
drowsing	昏昏欲睡的
drubbing	崩潰
drudging	勞動
drug-addicted	依賴他人者
drug abuse	濫用物質
drug peddler	推者
drug trafficker	推者
drug user	使用者
drug withdrawal	收回
drugging	鎮靜
drum majorette	樂隊女隊長
drum out	驅逐
drum roll	卷
drum sander	打磨器
drum up	痛打
drumbeater	強硬支持者
drumfire	炮轟
drumfish	鼓
drunken reveler	酒神的信徒
drunken reveller	酒神的信徒
drunken revelry	秘密祭神儀式
druthers	偏愛
dry gangrene	木乃伊化
dry milk	奶粉
dry mouth	口乾燥病
dry pint	品脫
dry quart	夸脫
dry run	排練
dry unit	量幹物的幹量
dry wall	牆板
dry wash	洗
drygoods	紡織品
drying agent	乾燥劑
duad	對
dual-lane	分離的
dubiousness	懷疑
dubitable	可疑的
duck's egg	鴨子#迅速低頭
duck-billed	鴨嘴獸
duck-billed platypus	鴨嘴獸
duck shot	大型鉛彈
duck soup	肚帶
