a	累加器
Demerol	度冷丁
demersal	居于水底的
demesne	土地之所有
demi-	半
demigod	半神半人
demijohn	小口大酒瓶
demilitarize	解除武裝
demilune	半月形堡壘
demise	崩
demist	除霧
demit	辭職
demiurge	造物主
demo	演示
demobilize	使復員
democracy	民主政治
democrat	民主人士
democratic	民主的
Democratic Party	民主黨派
democratize	民主化
demodulate	解調
demographic	人口統計的
demography	人口統計學
demolish	毀壞
demolition	破壞
demon	魔鬼
demonetize	廢止使用
demoniac	著魔的
demonic	惡魔的
demonism	信仰魔鬼
demonize	使成為魔鬼
demono-	魔鬼
demonolatry	崇拜鬼神
demonology	魔憑論
demonopolize	取消
demonstrable	可論證的
demonstrate	示範
demonstration	示範
demonstrative	說明的
demonstrator	論證者
demoralize	使道德敗壞
demos	人民
Demosthenes	狄摩西尼
demote	使降級
demotic	人民的
demotion	降級
demountable	可拆卸的
demulcent	緩和的
demur	提出異議
demure	裝成端莊的
demurrable	可抗辯的
demurrer	反對者
demyelinate	脫髓鞘
demystify	使非神秘化
den	獸穴
denary	十的
denaturalize	使非自然化
denaturant	變性劑
denature	使改變本性
denazify	使非納粹化
dendriform	樹狀的
dendrite	樹枝石
dendritic	樹枝狀的
dendrogram	樹狀圖
dendroid	樹木狀的
dendrology	樹木學
dendron	樹突
dene	沙地
denervate	去神經
dengue	登革熱
deniable	可否認的
denial	否認
denigrate	使變黑
denim	斜紋粗棉布
denitrify	從
denizen	居民
Denmark	丹麥
denominate	命名
denomination	名稱
denominational	宗派的
denominative	有
denominator	分母
denotation	指示
denote	指示
denouement	結局
denounce	告發
dense	密集的
densify	使增加密度
densimeter	比重計
densitometer	光密度計
density	密度
density function	密度函數
dent	凹痕
dental	牙齒的
dental floss	潔牙線
dental formula	牙式
dental hygienist	牙科保健員
dental surgeon	牙科醫生
dentary	齒骨
dentate	有齒的
denticle	髓石
denticulate	有細齒的
dentifrice	牙粉
dentil	齒狀裝飾
dentilingual	牙舌的
dentine	牙質
dentist	牙科醫生
dentition	生齒
denture	一副假牙
denude	使裸露
denumerable	可數的
denunciation	譴責
Denver	丹佛
deny	否認
deodorant	除臭藥
deodorize	除臭
deontology	義務論
deoxidize	除氧
deoxycorticosterone	脫氧皮質酮
deoxygenate	去氧
deoxyribose	脫氧核糖
dep.	純化的
depart	離開
departed	過去的
department	部門
department store	百貨公司
departmental	部門的
departmentalism	分成部門
departmentalize	把
departure	離開
depasture	使吃草
depauperate	使貧窮
depend	靠
dependable	可信任的
dependant	家眷
dependence	依賴
dependency	屬國
dependent	依賴他人者
dependent variable	因變量
depersonalization	人格解體
depersonalize	使失去個性
depict	描述
depiction	描寫
depilate	拔毛
depilatory	脫毛用的
deplane	下飛機
deplete	耗盡
depleted uranium	貧
depletion	消耗
deplorable	可嘆的
deplore	悲悼
deploy	展開
deplume	剝去羽毛
depolarize	使去極
depolymerize	使解聚
deponent	宣誓證人
depopulate	人口減少
deport	舉止
deportation	驅逐出境
deportee	被驅逐者
deportment	行為
depose	免職
deposit	存款
deposit account	存款帳戶
depositary	收存入
deposition	免職
depositor	存放者
depository	倉庫
depot	停車場
deprave	使墮落
depraved	墮落的
depravity	墮落
deprecate	聲明不贊成
deprecatory	不贊成的
depreciate	貶值
depreciation	價值減低
depredation	掠奪
depredator	掠奪者
depress	使沮喪
depressed	沮喪的
depressing	抑壓的
depression	不景氣
depressive	壓抑的
depressor	壓抑者
depressurize	減壓
deprivation	剝奪
deprive	剝奪
deprived	窮困的
deproteinize	去蛋白質
Dept	部
depth	深度
depth charge	深水炸彈
depth finder	深度找尋器
depth gauge	深度計
depth of field	視野深度
depth of focus	焦深
depth perception	深度知覺
depth psychology	深蘊心理學
depth sounder	深度發音器
depuration	使無雜質
depute	指定代理人
deputize	指定為代理
deputy	代理人
dequeue	解隊
deracinate	根除
derail	使出軌
derange	擾亂
deranged	精神錯亂的
derate	減免
deration	解除配給
Derby	德比
Derbyshire	德比郡
derecognize	撤銷承認
deregister	撤銷
deregulate	解除管制
derelict	被拋棄了的
dereliction	玩忽職守
derequisition	撤消
derestrict	取消對
deride	嘲弄
derision	嘲笑
derisive	嘲笑的
derisory	值得嘲笑的
derivate	衍生物
derivation	推論
derivative	引出的
derive	得自
derived demand	派生而求
derm	皮
derma	真皮
derma-	皮
dermabrasion	擦皮法
dermatitis	皮膚炎
dermato-	皮
dermatoglyphics	皮紋學
dermatology	皮膚醫學
dermatome	皮區
dermatomycosis	皮真菌病
dermatomyositis	皮膚肌炎
dermatophyte	皮真菌
dermatophytosis	皮真菌病
dermatosis	皮膚病
dermis	真皮
dermoid	皮樣的
dermoid cyst	皮樣囊腫
derogate	貶損
derogation	毀損
derogatory	貶損的
derrick	起重機
derring-do	拼命的勇氣
derris	魚藤
derv	車用柴油
dervish	託缽僧
desalt	除去鹽分
desaturate	減飽和
descale	除去
descant	曲調
descend	下降
descendant	後裔
descender	後繼
descent	降落
describe	描述
description	描述
descriptive	描述的
descriptor	描述符
descry	看出
desecrate	供俗用
desecration	褻瀆神聖
deselect	取消
desensitize	使麻木不仁
desert	沙漠
deserted	被遺棄的
deserter	背棄者
desertion	丟掉
deserve	該得到
deserved	應得的
deservedly	應得報酬地
deserving	該受的
desexualize	除性征
desiccant	幹燥劑
desiccate	使幹
desiccator	幹燥工
desiderate	渴望
desiderative	願望的
desideratum	所願望之物
design	設計
designate	指定
designation	指示
designedly	故意地
designee	被指定者
designer	設計者
designing	陰謀的
desirability	值得想望
desirable	令人想望的
desire	欲望
desirous	想要的
desist	停止
desk	書桌
desktop	桌面
desmoid	纖維樣的
desmosome	橋粒
desolate	荒涼的
desolation	荒蕪
desorb	使解吸
despair	絕望
despairing	絕望的
desperado	亡命之徒
desperate	不顧一切的
desperation	絕望
despicable	可鄙的
despise	輕視
despite	輕視
despoil	奪取
despoliation	掠奪
despond	沮喪
despondency	失去勇氣
despondent	喪氣的
despot	專制君主
despotic	專制的
despotism	獨裁
desquamate	脫落
dessert	餐後甜點
dessertspoon	點心匙
destabilize	使動搖
destain	使退色
destination	目的地
destine	注定
destined	預定的
destiny	命運
destitute	窮困的
destitution	窮困
destrier	軍馬
destroy	破壞
destroyer	破壞者
destruct	自毀
destructible	可破壞的
destruction	破壞
destructive	毀滅性的
destructive distillation	破壞蒸餾
desuetude	廢止
desulphurize	使脫硫
desultory	散漫的
desuperheater	減溫器
Det.	給予
detach	使分離
detached	超然的
detachment	分離
detail	細節
detailed	詳細的
detailing	詳細設計
detain	扣留
detainee	被拘留者
detainer	拘留者
detect	發現
detection	發現
detective	偵探
detector	發現者
detent	棘爪
detention	阻止
detention centre	拘留中心
deter	制止
deterge	擦淨
detergent	清潔劑
deteriorate	惡化
deterioration	惡化
determinable	可決定的
determinant	決定物
determinate	確定的
determination	決心
determinative	決定的
determine	決定
determined	堅決的
determiner	限定詞
determinism	決定論
deterrent	制止的
detest	厭惡
detestable	可憎的
detestation	憎惡
dethrone	廢黜
detinue	非法佔有
detonate	引爆
detonation	爆炸
detonator	雷管
detorsion	扭轉矯正法
detour	繞路
detoxicate	使解毒
detoxification	解毒作用
detoxify	使解毒
detract	減去
detractor	毀損者
detrain	下火車
detriment	損害
detrimental	有害的
detrition	磨損
detritus	碎石
Detroit	底特律
detrusor	壓出器
Dettol	地特爾
detumescence	消腫
detune	去諧
deuce	兩點
deuced	非常的
deuteragonist	當配角的人
deuteranope	綠色盲患者
deuteranopia	綠色盲
deuterium	氘
deutero-	第二
deuteron	氘核
Deuteronomy	申命記
Deutschland	德國
deutzia	溲疏
devaluate	貶值
devalue	降低
devastate	毀壞
devastating	毀滅性的
devastation	毀壞
develop	發展
developable	可發展的
developer	開發者
development	發展
development system	開發系統
developmental	發展的
deviance	越軌行為
deviant	不正常的
deviate	脫離
deviation	背離
device	裝置
devil	魔鬼
devil-may-care	不顧一切的
devil's grip	鬼抓風
devilish	魔鬼似的
devilry	邪惡
devious	偏僻的
devise	設計
devitalize	奪去生命
devoid	全無的
devolution	相傳
devolve	轉移
Devonian	德文郡的
devote	投入于
devoted	投入的
devotee	愛好者
devotion	熱愛
devotional	忠誠的
devour	吞食
devout	虔誠的
dew	露珠
dew point	露點
dewater	使脫水
dewax	使脫蠟
dewclaw	殘留趾
dewdrop	露水
dewfall	降露
dewlap	垂肉
dewy	露濕的
dewy-eyed	天真的
dexamethasone	地塞米鬆
dexter	右側的
dexterity	靈巧
dexterous	靈巧的
dextral	右側的
dextran	右旋糖酐
dextrin	糊精
dextro-	右
dextrorotatory	右旋的
dextrose	葡萄糖
dezincification	脫鋅
DF	數據區
DH	設計手冊
dharma	達摩
dhole	印度野狗
dhoti	腰布
DI	數據輸入
di-	二
dia-	通過
diabase	輝綠岩
diabetes	糖尿病
diabetes insipidus	尿崩症
diabetes mellitus	糖尿病
diabetic	糖尿病的
diabolic	惡魔的
diabolical	惡魔的
diabolism	惡魔的行徑
diabolo	空竹
diaconal	助祭的
diaconate	助祭之職
diacritic	診斷的
diadelphous	二體雄蕊的
diadem	王冠
diaeresis	分開
diagnose	診斷
diagnosis	診斷
diagnostic	診斷的
diagonal	對角線的
diagonal matrix	對角矩陣
diagonally	對角地
diagrammatic	圖解的
diakinesis	終變期
dial	刻度盤
dial tone	撥號音
dial-up	撥號
dialect	方言
dialectic	辯證的
dialectical	辯證的
dialectician	辯證學家
dialectology	方言學
dialog box	對話框
dialogue	對話
dialysate	滲析液
dialyse	透析
dialysis	透析
diamagnetic	抗磁性的
diamantine	金剛鋁
diameter	直徑
diametrical	直徑的
diametrically	完全地
diamine	二元胺
diamond	鑽石
diana	狄安娜
diapason	和音
diapause	滯育
diapedesis	白血球滲出
diaper	尿布
diaper rash	尿布疹
diaphanous	透明的
diaphoresis	發汗
diaphoretic	發汗的
diaphragm	橫隔膜
diaphragm pump	隔膜泵
diaphysis	骨幹
diapositive	透明正片
diarchy	兩頭政治
diarist	記日記的人
diarrhoea	腹瀉
diary	日記
diaspore	一水硬鋁石
diastema	間隙
diastole	心髒舒張
diathermy	透熱療法
diathesis	素質
diatom	硅藻
diatomaceous earth	硅藻土
diatomic	雙原子的
diatomite	硅藻土
diatonic	自然音階的
diatribe	抨擊
diazepam	地西泮
diazo	重氮的
diazo compound	重氮化合物
diazomethane	重氮甲烷
dib	12 將餌在水面輕輕地上下拉動
dibasic	二元的
dibber	點播器
dibble	挖洞器
diborane	乙硼烷
dibs	籌碼
dice	骰子
dicey	不確定的
dichogamy	雌雄蕊異熟
dichotomous	二分的
dichotomy	兩分
dichroic	二色的
dichromate	重鉻酸鹽
dichromatism	兩色
dick	家伙
dickens	魔鬼
dicker	十個
dicky	站不穩的
dicotyledon	雙子葉植物
dicrotic	二波的
Dictaphone	口授錄音機
dictate	聽寫
dictation	聽寫
dictator	命令者
dictatorial	獨裁者的
diction	措辭
dictionary	字典
dictum	聲明
dicty	高級的
did	的過去式
didactic	教訓的
diddle	欺騙
dido	胡鬧
didymium	釹鐠
die	死亡
die-cast	壓鑄的
diehard	頑固分子
dieldrin	狄氏劑
dielectric	電介質
dielectric constant	介電常數
dielectrophoresis	介電電泳
diencephalon	間腦
diene	雙烯
dies non	非庭訊日
diesel	內燃機
diet	日常飲食
dietary	飲食的
dietetic	飲食的
dietetics	飲食學
diethylene glycol	二甘醇
dietitian	飲食學家
differ	不一致
difference	不同
different	不同的
differentia	不同點
differentiable	可微的
differential	差別的
differential calculus	微分
differential diagnosis	鑑別診斷
differential equation	微分方程
differential operator	微分算子
differentiate	區別
differentiation	區別
difficult	困難的
difficulty	困難
diffidence	無自信
diffident	無自信的
diffract	使分散
diffraction	衍射
diffraction grating	衍射光柵
diffractometer	衍射表
diffuse	散播
diffuser	漫射體
diffusible	可被散播的
diffusion	散播
diffusivity	擴散性
dig	挖
digastric	二腹的
digest	文摘
digester	做摘要者
digestible	可消化的
digestion	消化力
digestive	消化的
digger	挖掘者
digit	數字
digital	數字顯示的
digital compression	指壓法
digital signature	數字簽名
digitalis	洋地黃
digitate	有指的
digitation	指狀突
digitigrade	趾行的
digitize	使成為數字
diglossia	雙舌
dignified	有尊嚴的
dignify	增威嚴
dignitary	高貴的人
dignity	尊嚴
digraph	二合字母
digress	走向岔道
digression	離題
digressive	離題的
digs	寄宿處
dihedral	二面的
dihybrid	二因子雜種
dihydric	二氫的
dihydrotestosterone	雙氫睪酮
dike	堤防
DIL	雙列直插式
dilapidate	荒廢
dilapidation	荒廢
dilatancy	膨脹性
dilatation	膨脹
dilate	擴大
dilator	詳述者
dilatory	拖拉的
dilemma	困境
dilettante	業餘愛好者
diligence	勤奮
diligent	勤勉的
dill	蒔蘿
dill water	蒔蘿水
dilly	好東西
diluent	衝淡的
dilute	衝淡
dilution	衝淡
diluvial	洪積的
diluvian	大洪水的
dim	暗淡的
dim-witted	笨的
dim.	半的
dime	分硬幣
dimension	尺寸
dimensional analysis	維量分析
dimer	二聚物
dimercaprol	二巰丙醇
dimeter	二韻腳
dimethoate	樂果
dimetric	正二側的
dimidiate	二分的
diminish	減少
diminished responsibility	減輕的責任
diminution	減少
diminutive	小的
dimity	麻紗
dimmer	調光器
dimorphic	雙晶的
dimple	酒窩
dimwit	傻瓜
din	喧囂
dinar	第納爾
dine	用正餐
diner	用餐者
dinette	小吃飯間
ding	響
ding-a-ling	笨蛋
dinghy	小船
dingle	小峽谷
dingo	澳洲野犬
dingus	小裝置
dingy	暗淡的
dining room	飯廳
dink	漂亮的
dinkum	工作
dinky	極小的
dinner	晚餐
dinnerware	整套餐具
dinosaur	恐龍
dint	凹痕
diocesan	主教管區的
diocese	主教教區
diode	二極管
dioecious	雌雄異體的
dioestrus	間
Diophantine equation	刁番圖方程
diopside	透輝石
dioptase	透視石
dioptre	屈光度
dioptric	屈光度的
dioptrics	折光學
diorama	透視畫
diorite	閃長岩
dioxide	二氧化物
dip	浸
dip net	水中採集網
dip switch	開關
dip-dye	浸染
diphenhydramine	苯海拉明
diphenylamine	二苯胺
diphtheria	白喉
diphtheroid	類白喉的
diphthong	二合元音
diphthongize	二合元音化
diplegia	雙側癱瘓
diplo-	雙
diploblastic	二胚層的
diplococcus	雙球菌
diplodocus	梁龍
diploid	雙重的
diploma	文憑
diplomacy	外交
diplomat	外交官
diplomate	醫師
diplomatic	外交的
diplomatic bag	外交郵袋
diplomatic corps	外交使團
diplomatic immunity	外交豁免
diplomatist	外交家
diplopia	復視
Diplopoda	倍足亞綱
diplotene	雙線期
dipole	雙極子
dipole moment	偶極矩
dipper	顯影液槽
dipsomania	嗜酒症
dipstick	量油尺
Diptera	雙翅目
dipterous	雙翅的
dipyridamole	雙嘧達莫
diquat	殺草快
dire	可怕的
direct	直接的
direct access	直接存取
direct action	直接行動
direct current	直流
direct debit	直接借記
direct examination	直接詰問
direct injection	直接噴射
direct method	直接法
direct object	直接客體
direct tax	直接稅
direction	方向
direction finder	探向器
directional	方向的
directive	指導的
directly	徑直地
director	主管
directorate	理事之職務
directory	目錄
directress	女主管
directrix	準線
direful	可怕的
dirge	挽歌
dirham	迪拉姆
dirigible	可駕駛的
dirk	短劍
dirt	污垢
dirty	骯髒的
dirty look	厭惡的表情
dirty money	孽財
dirty trick	卑鄙手段
dirty work	髒活
dis	狄斯
disability	無力
disable	使失去能力
disabled	殘廢的
disabuse	解迷惑
disaccharide	二糖
disaccord	不一致
disadvantage	缺點
disadvantageous	不利的
disaffected	不滿的
disaffection	不滿
disaffiliate	分離
disaffirm	廢棄
disafforest	砍伐森林
disagree	不一致
disagreeable	令人不快的
disagreement	不合
disallow	不許
disappear	消失
disappearance	看不見
disappoint	使失望
disappointed	失望的
disappointing	使失望的
disappointment	失望
disapprobation	不以為然
disapproval	不贊成
disapprove	不贊成
disarm	解除武裝
disarmament	裁軍
disarming	使人消氣的
disarrange	擾亂
disarray	弄亂
disarticulate	使關節脫落
disassemble	解開
disassembler	反匯編程序
disassociate	分離
disaster	災禍
disaster area	災區
disastrous	損失慘重的
disavow	否認
disavowal	否認
disband	解散
disbelief	不信
disbelieve	不信
disbud	摘去
disburden	卸下重擔
disburse	支付
disbursement	支付
disc	圓盤
disc jockey	11 唱片流行音樂節目播音員
disc wheel	圓盤輪
discalced	赤腳的
discard	丟棄
discern	辨別
discernible	看得清的
discerning	有眼力的
discernment	認識
discerption	分離
discharge	卸下
discharge lamp	放電燈
discharge tube	放電管
discharger	卸貨人
disciple	弟子
disciplinarian	懲戒性的
disciplinary	訓練的
discipline	訓練
disclaim	放棄
disclaimer	放棄
disclose	揭露
disclosure	揭發
disco	夜總會
discobolus	擲鐵餅者
discoid	盤狀的
discoloration	變色
discolour	變色
discombobulate	使混亂
discomfit	打亂
discomfiture	失敗
discomfort	困苦
discommode	使不方便
discompose	使不安
discomposure	心亂
disconcert	使困惑
disconnect	使分離
disconnected	分離的
disconsolate	鬱鬱不樂的
discontent	不滿
discontented	不滿意的
discontinue	中斷
discontinuity	間斷
discontinuous	不連續的
discord	不調和
discordant	不調和的
discotheque	夜總會
discount	折扣
discount house	折扣商店
discount market	貼現市場
discount rate	貼現率
discount store	減價商店
discountenance	不贊成
discourage	使氣餒
discouraged	氣餒的
discouragement	使洩氣
discouraging	令人氣餒的
discourse	談話
discourteous	失禮的
discourtesy	無禮
discover	發現
discoverer	發現者
discovery	發現
discredit	無信用
discreditable	有損信用的
discreet	小心的
discrepancy	不符合
discrete	不連續的
discretion	慎重
discretionary	選擇的
discriminant	判別式
discriminant analysis	判別分析
discriminant function	判別函數
discriminate	區別
discriminating	區別性的
discrimination	差別
discriminator	辨別者
discursive	離題的
discus	鐵餅
discuss	討論
discussant	討論者
discussion	討論
disdain	蔑視
disdainful	輕蔑的
disease	疾病
diseased	害病的
diseconomy	不經濟
disembark	上岸
disembarrass	使擺脫困境
disembodied	脫離肉體的
disembody	使脫離肉體
disembogue	注入
disembowel	取出
disembroil	使擺脫混亂
disenchant	使清醒
disenchanted	感到幻滅的
disencumber	使解脫
disendow	沒收基金
disengage	使脫離
disengaged	自由的
disengagement	分開
disentangle	解開糾結
disenthral	解放
disentitle	剝奪
disentomb	盜墳
disequilibrium	不均衡
disestablish	使
disesteem	厭惡
disfavour	不喜歡
disfigure	毀損
disfigurement	損形
disforest	伐盡山林
disfranchise	剝奪公民權
disfrock	撤銷聖職
disgorge	吐出
disgrace	恥辱
disgraceful	可恥的
disgruntled	不滿意的
disguise	假面目
disgust	厭惡
disgustful	令人作嘔的
disgusting	令人厭惡的
dish	盤子
dish antenna	碟形天線
disharmony	不調和
dishcloth	洗碟布
dishearten	使
dished	中凹的
dishevel	使蓬亂
dishevelled	散亂的
dishonest	不誠實的
dishonesty	不誠實
dishonour	不名譽
dishonourable	不名譽的
dishrag	洗碟布
dishwasher	洗碗機
dishwater	洗碟子的水
dishy	有魅力的
disillusion	覺醒
disincentive	抑制的
disinclination	不願
disinclined	不願意的
disinfect	消毒
disinfectant	消毒的
disinfest	驅除害蟲
disinflation	反通貨膨脹
disinformation	假情報
disingenuous	不老實的
disinherit	剝奪
disintegrate	分解
disintegration	瓦解
disinter	掘出
disinterest	無興趣
disinterested	無私欲的
disintermediation	資金的遊離
disjoin	分開
disjoint	脫節
disjointed	關節脫位的
disjunct	分離的
disjunction	分離
disjunctive	分離的
disk	圓盤
disk drive	磁盤驅動器
diskette	磁盤
dislike	嫌惡
dislocate	脫臼
dislocation	脫臼
dislodge	逐出
disloyal	不實的
disloyalty	不忠實
dismal	陰沉的
dismantle	拆除
dismast	取下桅桿
dismay	沮喪
dismember	割斷手足
dismiss	解散
dismissal	免職
dismissive	輕視的
dismount	下馬
Disney World	迪斯尼世界
Disneyland	迪斯尼樂園
disobedience	不服從
disobedient	不服從的
disobey	違反
disoblige	不滿足
disobliging	不親切的
disorder	雜亂
disorderly	無秩序的
disorderly house	妓院
disorient	使失去方向
disorientate	使失去方向
disown	否認
disparage	蔑視
disparaging	蔑視的
disparate	根本不同的
disparity	不一致
dispassionate	冷靜的
dispatch	派遣
dispel	驅散
dispensable	不是必要的
dispensary	藥房
dispensation	分配
dispense	分發
dispenser	分配者
dispersal	散布
dispersant	分散劑
disperse	分散
dispersion	散布
dispirit	使沮喪
dispirited	沮喪的
displace	移置
displaced person	被迫流離者
displacement	換置
display	顯示
display type	顯示類型
displease	使不愉快
displeasure	不愉快
disport	玩耍
disposable income	可遂意
disposal	丟掉
dispose	處理
disposed	願意
disposition	性情
dispossess	剝奪
dispraise	貶低
disproof	反證
disproportion	不均衡
disproportionate	不成比例的
disproportionation	歧化
disprove	證明
disputation	爭論
disputatious	愛爭論的
dispute	爭論
disqualification	不適合
disqualify	使不適合
disquiet	打攪
disquieting	使不安的
disquietude	不安
disquisition	專題論文
disrate	使降級
disregard	忽視
disrelish	討厭
disremember	忘記
disrepair	失修
disreputable	名譽不好的
disrepute	喪失名譽
disrespect	不敬
disrespectful	失禮的
disrobe	脫去
disrupt	分裂的
disruption	分裂
disruptive	分裂的
dissatisfaction	不滿
dissatisfied	不滿的
dissatisfy	使感覺不滿
dissect	解剖
dissected	分成部分的
dissection	解剖
dissemble	掩飾
disseminate	散播
disseminated sclerosis	多發性硬化
dissemination	散播
dissension	意見不合
dissent	異議
dissenter	持異議者
dissentient	反對的
dissepiment	隔膜
dissertate	論述
dissertation	論文
disservice	傷害
dissever	使分離
dissidence	意見不同
dissident	意見不同的
dissimilar	不同的
dissimilarity	不同
dissimilate	變得不同
dissimilitude	相異
dissimulate	掩飾
dissimulation	掩飾
dissipate	散失
dissipation	消散
dissociable	可分離的
dissociate	把
dissociated personality	人格分離
dissociation	分解
dissociation constant	離解常數
dissoluble	可溶解的
dissolute	放蕩的
dissolution	分解
dissolve	溶解
dissolvent	有溶解力的
dissonance	不和諧音
dissonant	不和諧的
dissuade	勸阻
dissyllable	雙音節詞
dissymmetry	不對稱
distaff	卷線桿
distal	末梢的
distance	距離
distant	遠的
distant signal	遠距離信號
distantly	遠
distaste	討厭
distasteful	味道差的
distemper	病
distend	膨脹
distich	對句
distichous	二列的
distil	蒸餾
distillate	餾出物
distillation	蒸餾
distiller	蒸餾者
distillery	蒸餾室
distinct	清楚的
distinction	區別
distinctive	有特色的
distinctly	顯然地
distinguish	區別
distinguishable	區別得出的
distinguished	卓著的
distinguishing	有區別的
distort	扭曲
distortion	扭曲
distract	轉移
distracted	心煩意亂的
distraction	娛樂
distrain	扣押
distraint	扣押
distrait	心不在焉的
distraught	煩惱的
distress	苦惱
distress sale	廉價拋售
distress signal	呼救信號
distress warrant	財產扣押令
distressed	痛苦的
distressing	使痛苦的
distributary	支流
distribute	分配
distributed system	分布式系統
distribution	分配
distribution board	配電屏
distributive	分發的
distributor	分發者
district	區域
district court	地區法院
district heating	局部加熱
distrust	不信任
distrustful	不信任的
disturb	擾亂
disturbance	擾亂
disturbed	混亂的
disturbing	引起煩惱的
disubstituted	二取代的
disulfiram	雙硫侖
disunion	分離
disunity	不統一
disuse	不被使用
disused	不用
disutility	減少效用
dit	點
ditch	溝渠
ditchwater	溝中死水
ditheism	善惡二元論
dither	發抖
dithyramb	酒神贊美歌
dittany	白蘚
ditto	同上
ditty	小調
diuresis	利尿
diuretic	利尿劑
diurnal	每日的
Div.	分
diva	歌劇女主角
divalent	二價的
divan	長沙發
divaricate	分為兩叉
dive	潛水
dive-bomb	俯衝轟炸
diver	潛水者
diverge	分歧
divergence	分歧
divergent	有分歧的
divers	各種不同的
diverse	不同的
diversify	使多樣化
diversion	轉移
diversity	差異
divert	轉移
diverticula	憩室
diverticular	憩室的
diverticulitis	憩室炎
diverticulosis	腸
diverticulum	憩室
Dives	財主
divest	使擺脫
divestiture	剝奪
divi-divi	分
divide	分開
dividend	被除數
dividend coverage	股利保證倍
dividend warrant	股利單
dividend yield	12 每股股利與目前價格的比率
divider	劃分者
divination	佔卜
divine	神的
diving	潛水
divinity	神
divisible	可分的
division	分
division sign	除號
divisional	部門的
divisive	區分的
divisor	除數
divorce	離婚
divorcee	離婚者
divot	草皮
divulge	洩露
divvy	分攤
DIY	不雇工
dizygotic	兩合子的
dizzy	暈眩的
DJ	11 唱片流行音樂節目播音員
dl	數據語言
DLL	動態鏈接庫
dlr	美元
dm	數學博士
do	做
do-it-yourself	自己動手
do-nothing	懶鬼
do-or-die	不屈不撓的
doable	可做的
dobsonfly	魚蛉
doc	通信部
docile	容易教的
dock	碼頭
dockage	入塢費
docker	碼頭工人
docket	摘要
dockhand	船塢工人
dockyard	造船廠
doctor	醫生
Doctor of Philosophy	博士
doctoral	博士的
doctorate	博士頭銜
doctrinaire	空論家
doctrinal	教義的
doctrine	教條
document	文件
documentary	記錄片
documentation	文件
dodder	搖擺
doddery	衰老的
doddle	兒戲
dodecagon	十二角形
dodecahedron	十二面體
dodge	避開
dodgeball	躲球遊戲
dodgem	躲閃車
dodger	躲閃者
dodgy	狡猾的
dodo	渡渡鳥
doe	母鹿
doer	行為者
doeskin	母鹿皮
dof	自由度
doff	脫
dog	狗
dog clutch	爪形離合器
dog rose	狗牙薔薇
dog tag	卡箍標記
dog-eared	折角的
dog-tired	疲倦極的
dogbane	夾竹桃
dogberry	花楸
doge	總督
dogface	士兵
dogfight	混戰
dogfish	狗鯊
dogged	頑固的
doggerel	打油詩
doggone	可憎的
doggy	小狗兒
doghouse	狗窩
dogma	教條
dogmatic	教條的
dogmatics	教義學
dogmatism	武斷
dogmatize	武斷
dogsbody	打雜工
dogshore	支船柱
dogskin	狗皮
dogtrot	小步跑
doing	行為
doited	老糊塗的
doldrums	憂鬱
dole	救濟品
doleful	悲哀的
dolerite	粗粒玄武岩
dolichocephalic	長頭的
doll	洋娃娃
dollar	美元
dollar area	美元區
dollar diplomacy	金元外交
dollar gap	美元短缺
dollar sign	貨幣符號
dollop	塊
dolly	洋娃娃
dolomite	白雲石
dolorimeter	測痛計
dolorous	憂傷的
dolphin	海豚
dolt	呆子
doltish	愚蠢的
domain	領域
domain name system	域名系統
domanial	擁有領土的
dome	圓頂
domed	圓屋頂的
domestic	家庭的
domesticate	養馴
domesticity	專心于家務
domical	圓屋頂的
domicile	住所
domiciliary	住處的
dominance	優勢
dominant	佔優勢的
dominate	支配
domination	支配
domineer	跋扈
dominical	主的
dominie	牧師
dominion	領土
dominium	所有權
domino	化裝外衣
domino effect	多米諾效應
don	西班牙貴族
donate	捐贈
donatio mortis causa	死因贈與
donation	捐贈物
donative	贈與的
done	完成了的
donee	受贈者
donga	陡岸幹溝
donjon	城堡主樓
donkey	驢子
donkeyman	輔助操作工
Donnan equilibrium	唐南平衡
donor	捐贈人
doodle	塗鴉
doohickey	小玩意
doom	厄運
doomsday	世界末日
door	門
doorbell	門鈴
doorjamb	門側柱
doorkeeper	看門人
doorknob	球形門拉手
doorman	看門人
doormat	擦鞋墊
doornail	門釘
doorpost	門柱
doorsill	門檻
doorstep	門階
doorstop	制門器
doorway	門口
dooryard	庭院
dopa	多巴
dopamine	多巴胺
dopant	摻雜物
dope	吸毒者
dopey	被麻醉的
Doppler broadening	多普勒展寬
Doppler effect	多普勒效應
Doppler radar	多普勒雷達
Doppler shift	多普勒頻移
dorado	劍魚
dorm	宿舍
dormant	睡眠狀態的
dormitory	宿舍
dormouse	榛睡鼠
dormy	12 領先分數與所剩洞數相等的
dorp	村落
dorsal	背的
dorsi-	背
dorso-	背
dorsolateral	背外側的
dorsoventral	背腹側的
dorsum	背
dory	平底小漁船
dosage	劑量
dose	劑量
dose equivalent	劑量當量
doss	睡床
dossal	幔布
dossier	檔案
dot	點
dot matrix	點陣
dot matrix printer	點陣打印機
dot product	點積
dotage	老耄
dote	昏聵
doting	偏愛的
dotted line	虛線
dotty	多點的
double	兩倍
double agent	雙重間諜
double bond	雙鍵
double chin	雙頦
double decomposition	雙分解
double helix	雙螺旋
double indemnity	加位補償
double pneumonia	雙側肺炎
