a	eɪ	-ā	ㄝㄧ	累加器
dissimulate	dɪˈsɪmjʊleɪt	d-i-s-i-m-y-oo-l-ā-t	ㄉㄧㄙㄧㄇㄡㄡㄌㄝㄧㄉ	掩飾
dissimulation	dɪˌsɪmjʊˈleɪʃən	d-i-s-i-m-y-oo-l-ā-sh-ə-n	ㄉㄧㄙㄧㄇㄡㄡㄌㄝㄧㄕㄣ	掩飾
dissipate	ˈdɪsɪpeɪt	d-i-s-i-p-ā-t	ㄉㄧㄙㄧㄅㄝㄧㄉ	散失
dissipation	ˌdɪsɪˈpeɪʃən	d-i-s-i-p-ā-sh-ə-n	ㄉㄧㄙㄧㄅㄝㄧㄕㄣ	消散
dissociable	dɪˈsəʊʃjəbl	d-i-s-ə-oo-sh-y-ə-b-l	ㄉㄧㄙㄦㄡㄕㄡㄦㄅㄌ	可分離的
dissociate	dɪˈsəʊʃɪeɪt	d-i-s-ə-oo-sh-i-ā-t	ㄉㄧㄙㄦㄡㄕㄧㄝㄧㄉ	把
dissociated personality	dɪˈsəʊʃɪeɪtɪd ˌpɜːsəˈnælɪti	d-i-s-ə-oo-sh-i-ā-t-i-d- -p-û-s-ə-n-a-l-i-t-ē	ㄉㄧㄙㄦㄡㄕㄧㄝㄧㄉㄧㄉ ㄅㄦㄙㄦㄋㄚㄌㄧㄉㄧ	人格分離
dissociation	dɪˌsəʊsɪˈeɪʃən	d-i-s-ə-oo-s-i-ā-sh-ə-n	ㄉㄧㄙㄦㄡㄙㄧㄝㄧㄕㄣ	分解
dissociation constant	dɪˌsəʊsɪˈeɪʃən ˈkɒnstənt	d-i-s-ə-oo-s-i-ā-sh-ə-n- -k-o-n-s-t-ə-n-t	ㄉㄧㄙㄦㄡㄙㄧㄝㄧㄕㄣ ㄍㄛㄋㄙㄉㄣㄉ	離解常數
dissoluble	dɪˈsɒljʊbl	d-i-s-o-l-y-oo-b-l	ㄉㄧㄙㄛㄌㄡㄡㄅㄌ	可溶解的
dissolute	ˈdɪsəluːt	d-i-s-ə-l-ū-t	ㄉㄧㄙㄦㄌㄨㄉ	放蕩的
dissolution	ˌdɪsəˈluːʃən	d-i-s-ə-l-ū-sh-ə-n	ㄉㄧㄙㄦㄌㄨㄕㄣ	分解
dissolve	dɪˈzɒlv	d-i-z-o-l-v	ㄉㄧㄗㄛㄌㄈ	溶解
dissolvent	dɪˈzɒlvənt	d-i-z-o-l-v-ə-n-t	ㄉㄧㄗㄛㄌㄈㄣㄉ	有溶解力的
dissonance	ˈdɪsənəns	d-i-s-ə-n-ə-n-s	ㄉㄧㄙㄣㄣㄙ	不和諧音
dissonant	ˈdɪsənənt	d-i-s-ə-n-ə-n-t	ㄉㄧㄙㄣㄣㄉ	不和諧的
dissuade	dɪˈsweɪd	d-i-s-w-ā-d	ㄉㄧㄙㄨㄝㄧㄉ	勸阻
dissyllable	dɪˈsɪləbl	d-i-s-i-l-ə-b-l	ㄉㄧㄙㄧㄌㄦㄅㄌ	雙音節詞
dissymmetry	dɪˈsɪmɪtri	d-i-s-i-m-i-t-r-ē	ㄉㄧㄙㄧㄇㄧㄉㄖㄧ	不對稱
distaff	ˈdɪstɑːf	d-i-s-t-ä-f	ㄉㄧㄙㄉㄚㄈ	卷線桿
distal	ˈdɪstəl	d-i-s-t-ə-l	ㄉㄧㄙㄉㄦㄌ	末梢的
distance	ˈdɪstəns	d-i-s-t-ə-n-s	ㄉㄧㄙㄉㄣㄙ	距離
distant	ˈdɪstənt	d-i-s-t-ə-n-t	ㄉㄧㄙㄉㄣㄉ	遠的
distant signal	ˈdɪstənt ˈsɪgnl	d-i-s-t-ə-n-t- -s-i-g-n-l	ㄉㄧㄙㄉㄣㄉ ㄙㄧㄍㄋㄌ	遠距離信號
distantly	ˈdɪstəntli	d-i-s-t-ə-n-t-l-ē	ㄉㄧㄙㄉㄣㄉㄌㄧ	遠
distaste	ˌdɪsˈteɪst	d-i-s-t-ā-s-t	ㄉㄧㄙㄉㄝㄧㄙㄉ	討厭
distasteful	dɪsˈteɪstfʊl	d-i-s-t-ā-s-t-f-oo-l	ㄉㄧㄙㄉㄝㄧㄙㄉㄈㄡㄌ	味道差的
distemper	dɪsˈtɛmpə	d-i-s-t-é-m-p-ə	ㄉㄧㄙㄉㄜㄇㄅㄦ	病
distend	dɪsˈtɛnd	d-i-s-t-é-n-d	ㄉㄧㄙㄉㄜㄋㄉ	膨脹
distich	ˈdɪstɪk	d-i-s-t-i-k	ㄉㄧㄙㄉㄧㄍ	對句
distichous	ˈdɪstɪkəs	d-i-s-t-i-k-ə-s	ㄉㄧㄙㄉㄧㄍㄦㄙ	二列的
distil	dɪsˈtɪl	d-i-s-t-i-l	ㄉㄧㄙㄉㄧㄌ	蒸餾
distillate	ˈdɪstɪlɪt	d-i-s-t-i-l-i-t	ㄉㄧㄙㄉㄧㄌㄧㄉ	餾出物
distillation	ˌdɪstɪˈleɪʃən	d-i-s-t-i-l-ā-sh-ə-n	ㄉㄧㄙㄉㄧㄌㄝㄧㄕㄣ	蒸餾
distiller	dɪsˈtɪlə	d-i-s-t-i-l-ə	ㄉㄧㄙㄉㄧㄌㄦ	蒸餾者
distillery	dɪsˈtɪləri	d-i-s-t-i-l-ə-r-ē	ㄉㄧㄙㄉㄧㄌㄦㄖㄧ	蒸餾室
distinct	dɪsˈtɪŋkt	d-i-s-t-i-ng-k-t	ㄉㄧㄙㄉㄧㄥㄍㄉ	清楚的
distinction	dɪsˈtɪŋkʃən	d-i-s-t-i-ng-k-sh-ə-n	ㄉㄧㄙㄉㄧㄥㄍㄕㄣ	區別
distinctive	dɪsˈtɪŋktɪv	d-i-s-t-i-ng-k-t-i-v	ㄉㄧㄙㄉㄧㄥㄍㄉㄧㄈ	有特色的
distinctly	dɪsˈtɪŋktli	d-i-s-t-i-ng-k-t-l-ē	ㄉㄧㄙㄉㄧㄥㄍㄉㄌㄧ	顯然地
distinguish	dɪsˈtɪŋgwɪʃ	d-i-s-t-i-ng-g-w-i-sh	ㄉㄧㄙㄉㄧㄥㄍㄨㄧㄕ	區別
distinguishable	dɪsˈtɪŋgwɪʃəbl	d-i-s-t-i-ng-g-w-i-sh-ə-b-l	ㄉㄧㄙㄉㄧㄥㄍㄨㄧㄕㄦㄅㄌ	區別得出的
distinguished	dɪsˈtɪŋgwɪʃt	d-i-s-t-i-ng-g-w-i-sh-t	ㄉㄧㄙㄉㄧㄥㄍㄨㄧㄕㄉ	卓著的
distinguishing	dɪsˈtɪŋgwɪʃɪŋ	d-i-s-t-i-ng-g-w-i-sh-i-ng	ㄉㄧㄙㄉㄧㄥㄍㄨㄧㄕㄧㄥ	有區別的
distort	dɪsˈtɔːt	d-i-s-t-ô-t	ㄉㄧㄙㄉㄛㄉ	扭曲
distortion	dɪsˈtɔːʃən	d-i-s-t-ô-sh-ə-n	ㄉㄧㄙㄉㄛㄕㄣ	扭曲
distract	dɪsˈtrækt	d-i-s-t-r-a-k-t	ㄉㄧㄙㄉㄖㄚㄍㄉ	轉移
distracted	dɪsˈtræktɪd	d-i-s-t-r-a-k-t-i-d	ㄉㄧㄙㄉㄖㄚㄍㄉㄧㄉ	心煩意亂的
distraction	dɪsˈtrækʃən	d-i-s-t-r-a-k-sh-ə-n	ㄉㄧㄙㄉㄖㄚㄍㄕㄣ	娛樂
distrain	dɪsˈtreɪn	d-i-s-t-r-ā-n	ㄉㄧㄙㄉㄖㄝㄧㄋ	扣押
distraint	dɪsˈtreɪnt	d-i-s-t-r-ā-n-t	ㄉㄧㄙㄉㄖㄝㄧㄋㄉ	扣押
distrait	dɪsˈtreɪ	d-i-s-t-r-ā	ㄉㄧㄙㄉㄖㄝㄧ	心不在焉的
distraught	dɪsˈtrɔːt	d-i-s-t-r-ô-t	ㄉㄧㄙㄉㄖㄛㄉ	煩惱的
distress	dɪsˈtrɛs	d-i-s-t-r-é-s	ㄉㄧㄙㄉㄖㄜㄙ	苦惱
distress sale	dɪsˈtrɛs seɪl	d-i-s-t-r-é-s- -s-ā-l	ㄉㄧㄙㄉㄖㄜㄙ ㄙㄝㄧㄌ	廉價拋售
distress signal	dɪsˈtrɛs ˈsɪgnl	d-i-s-t-r-é-s- -s-i-g-n-l	ㄉㄧㄙㄉㄖㄜㄙ ㄙㄧㄍㄋㄌ	呼救信號
distress warrant	dɪsˈtrɛs ˈwɒrənt	d-i-s-t-r-é-s- -w-o-r-ə-n-t	ㄉㄧㄙㄉㄖㄜㄙ ㄨㄛㄖㄣㄉ	財產扣押令
distressed	dɪsˈtrɛst	d-i-s-t-r-é-s-t	ㄉㄧㄙㄉㄖㄜㄙㄉ	痛苦的
distressing	dɪsˈtrɛsɪŋ	d-i-s-t-r-é-s-i-ng	ㄉㄧㄙㄉㄖㄜㄙㄧㄥ	使痛苦的
distributary	dɪsˈtrɪbjʊtəri	d-i-s-t-r-i-b-y-oo-t-ə-r-ē	ㄉㄧㄙㄉㄖㄧㄅㄡㄡㄉㄦㄖㄧ	支流
distribute	dɪsˈtrɪbju(ː)t	d-i-s-t-r-i-b-yü---t	ㄉㄧㄙㄉㄖㄧㄅㄡㄨㄉ	分配
distributed system	dɪsˈtrɪbju(ː)tɪd ˈsɪstɪm	d-i-s-t-r-i-b-yü---t-i-d- -s-i-s-t-i-m	ㄉㄧㄙㄉㄖㄧㄅㄡㄨㄉㄧㄉ ㄙㄧㄙㄉㄧㄇ	分布式系統
distribution	ˌdɪstrɪˈbjuːʃən	d-i-s-t-r-i-b-yü-sh-ə-n	ㄉㄧㄙㄉㄖㄧㄅㄡㄨㄕㄣ	分配
distribution board	ˌdɪstrɪˈbjuːʃən bɔːd	d-i-s-t-r-i-b-yü-sh-ə-n- -b-ô-d	ㄉㄧㄙㄉㄖㄧㄅㄡㄨㄕㄣ ㄅㄛㄉ	配電屏
distributive	dɪsˈtrɪbjʊtɪv	d-i-s-t-r-i-b-y-oo-t-i-v	ㄉㄧㄙㄉㄖㄧㄅㄡㄡㄉㄧㄈ	分發的
distributor	dɪsˈtrɪbjʊtə	d-i-s-t-r-i-b-y-oo-t-ə	ㄉㄧㄙㄉㄖㄧㄅㄡㄡㄉㄦ	分發者
district	ˈdɪstrɪkt	d-i-s-t-r-i-k-t	ㄉㄧㄙㄉㄖㄧㄍㄉ	區域
district court	ˈdɪstrɪkt kɔːt	d-i-s-t-r-i-k-t- -k-ô-t	ㄉㄧㄙㄉㄖㄧㄍㄉ ㄍㄛㄉ	地區法院
district heating	ˈdɪstrɪkt ˈhiːtɪŋ	d-i-s-t-r-i-k-t- -h-ē-t-i-ng	ㄉㄧㄙㄉㄖㄧㄍㄉ ㄏㄧㄉㄧㄥ	局部加熱
distrust	dɪsˈtrʌst	d-i-s-t-r-u-s-t	ㄉㄧㄙㄉㄖㄨㄙㄉ	不信任
distrustful	dɪsˈtrʌstfʊl	d-i-s-t-r-u-s-t-f-oo-l	ㄉㄧㄙㄉㄖㄨㄙㄉㄈㄡㄌ	不信任的
disturb	dɪsˈtɜːb	d-i-s-t-û-b	ㄉㄧㄙㄉㄦㄅ	擾亂
disturbance	dɪsˈtɜːbəns	d-i-s-t-û-b-ə-n-s	ㄉㄧㄙㄉㄦㄅㄣㄙ	擾亂
disturbed	dɪsˈtɜːbd	d-i-s-t-û-b-d	ㄉㄧㄙㄉㄦㄅㄉ	混亂的
disturbing	dɪsˈtɜːbɪŋ	d-i-s-t-û-b-i-ng	ㄉㄧㄙㄉㄦㄅㄧㄥ	引起煩惱的
disubstituted	disubstituted	d-ē-s-ū-b-s-t-ē-t-ū-t-e-d	ㄉㄧㄙㄨㄅㄙㄉㄧㄉㄨㄉㄝㄉ	二取代的
disulfiram	disulfiram	d-ē-s-ū-l-f-ē-r-a-m	ㄉㄧㄙㄨㄌㄈㄧㄖㄚㄇ	雙硫侖
disunion	ˌdɪsˈjuːnjən	d-i-s-yü-n-y-ə-n	ㄉㄧㄙㄡㄨㄋㄡㄣ	分離
disunity	ˌdɪsˈjuːnɪti	d-i-s-yü-n-i-t-ē	ㄉㄧㄙㄡㄨㄋㄧㄉㄧ	不統一
disuse	dɪsˈjuːs	d-i-s-yü-s	ㄉㄧㄙㄡㄨㄙ	不被使用
disused	dɪsˈjuːzd	d-i-s-yü-z-d	ㄉㄧㄙㄡㄨㄗㄉ	不用
disutility	disutility	d-ē-s-ū-t-ē-l-ē-t-y	ㄉㄧㄙㄨㄉㄧㄌㄧㄉㄩ	減少效用
dit	dɪt	-d-i-t	ㄉㄧㄉ	點
ditch	dɪʧ	d-i-ch	ㄉㄧㄓ	溝渠
ditchwater	ˈdɪʧˌwɔːtə	d-i-ch-w-ô-t-ə	ㄉㄧㄓㄨㄛㄉㄦ	溝中死水
ditheism	ˈdaɪθɪɪzm	d-ī-th-i-i-z-m	ㄉㄚㄧㄊㄧㄧㄗㄇ	善惡二元論
dither	ˈdɪðə	d-i-t-h-ə	ㄉㄧㄘㄦ	發抖
dithyramb	ˈdɪθɪræmb	d-i-th-i-r-a-m-b	ㄉㄧㄊㄧㄖㄚㄇㄅ	酒神贊美歌
dittany	ˈdɪtəni	d-i-t-ə-n-ē	ㄉㄧㄉㄣㄧ	白蘚
ditto	ˈdɪtəʊ	d-i-t-ə-oo	ㄉㄧㄉㄦㄡ	同上
ditty	ˈdɪti	d-i-t-ē	ㄉㄧㄉㄧ	小調
diuresis	ˌdaɪjʊəˈriːsɪs	d-ī-y-ü-ə-r-ē-s-i-s	ㄉㄚㄧㄡㄡㄦㄖㄧㄙㄧㄙ	利尿
diuretic	ˌdaɪjʊəˈrɛtɪk	d-ī-y-ü-ə-r-é-t-i-k	ㄉㄚㄧㄡㄡㄦㄖㄜㄉㄧㄍ	利尿劑
diurnal	daɪˈɜːnl	d-ī-û-n-l-	ㄉㄚㄧㄦㄋㄌ	每日的
Div.	Div.	D-ē-v-.	Dㄧㄈ.	分
diva	ˈdiːvə	-d-ē-v-ə	ㄉㄧㄈㄦ	歌劇女主角
divalent	ˈdaɪˌveɪlənt	d-ī-v-ā-l-ə-n-t	ㄉㄚㄧㄈㄝㄧㄌㄣㄉ	二價的
divan	dɪˈvæn	d-i-v-a-n	ㄉㄧㄈㄚㄋ	長沙發
divaricate	daɪˈværɪkeɪt	d-ī-v-a-r-i-k-ā-t	ㄉㄚㄧㄈㄚㄖㄧㄍㄝㄧㄉ	分為兩叉
dive	daɪv	d-ī-v	ㄉㄚㄧㄈ	潛水
dive-bomb	ˈdaɪvbɒm	d-ī-v-b-o-m	ㄉㄚㄧㄈㄅㄛㄇ	俯衝轟炸
diver	ˈdaɪvə	d-ī-v-ə	ㄉㄚㄧㄈㄦ	潛水者
diverge	daɪˈvɜːʤ	d-ī-v-û-y	ㄉㄚㄧㄈㄦㄓ	分歧
divergence	daɪˈvɜːʤəns	d-ī-v-û-y-ə-n-s	ㄉㄚㄧㄈㄦㄓㄣㄙ	分歧
divergent	daɪˈvɜːʤənt	d-ī-v-û-y-ə-n-t	ㄉㄚㄧㄈㄦㄓㄣㄉ	有分歧的
divers	ˈdaɪvə(ː)z	d-ī-v-ə---z	ㄉㄚㄧㄈㄦㄗ	各種不同的
diverse	daɪˈvɜːs	d-ī-v-û-s	ㄉㄚㄧㄈㄦㄙ	不同的
diversify	daɪˈvɜːsɪfaɪ	d-ī-v-û-s-i-f-ī	ㄉㄚㄧㄈㄦㄙㄧㄈㄚㄧ	使多樣化
diversion	daɪˈvɜːʃən	d-ī-v-û-sh-ə-n	ㄉㄚㄧㄈㄦㄕㄣ	轉移
diversity	daɪˈvɜːsɪti	d-ī-v-û-s-i-t-ē	ㄉㄚㄧㄈㄦㄙㄧㄉㄧ	差異
divert	daɪˈvɜːt	d-ī-v-û-t	ㄉㄚㄧㄈㄦㄉ	轉移
diverticula	diverticula	d-ē-v-e-r-t-ē-c-ū-l-a	ㄉㄧㄈㄝㄖㄉㄧㄕㄨㄌㄚ	憩室
diverticular	diverticular	-d-ē-v-e-r-t-ē-c-ū-l-a-r	ㄉㄧㄈㄝㄖㄉㄧㄕㄨㄌㄚㄖ	憩室的
diverticulitis	diverticulitis	d-ē-v-e-r-t-ē-c-ū-l-ē-t-ē-s	ㄉㄧㄈㄝㄖㄉㄧㄕㄨㄌㄧㄉㄧㄙ	憩室炎
diverticulosis	diverticulosis	d-ē-v-e-r-t-ē-c-ū-l-o-s-ē-s	ㄉㄧㄈㄝㄖㄉㄧㄕㄨㄌㄛㄙㄧㄙ	腸
diverticulum	diverticulum	d-ē-v-e-r-t-ē-c-ū-l-ū-m	ㄉㄧㄈㄝㄖㄉㄧㄕㄨㄌㄨㄇ	憩室
Dives	ˈdaɪviːz	d-ī-v-ē-z	ㄉㄚㄧㄈㄧㄗ	財主
divest	daɪˈvɛst	d-ī-v-é-s-t	ㄉㄚㄧㄈㄜㄙㄉ	使擺脫
divestiture	daɪˈvɛstɪʧə	d-ī-v-é-s-t-i-ch-ə	ㄉㄚㄧㄈㄜㄙㄉㄧㄓㄦ	剝奪
divi-divi	divi-divi	d-ē-v-ē-d-ē-v-ē	ㄉㄧㄈㄧ-ㄉㄧㄈㄧ	分
divide	dɪˈvaɪd	d-i-v-ī-d	ㄉㄧㄈㄚㄧㄉ	分開
dividend	ˈdɪvɪdɛnd	d-i-v-i-d-é-n-d	ㄉㄧㄈㄧㄉㄜㄋㄉ	被除數
dividend coverage	ˈdɪvɪdɛnd ˈkʌvərɪʤ	d-i-v-i-d-é-n-d- -k-u-v-ə-r-i-y	ㄉㄧㄈㄧㄉㄜㄋㄉ ㄍㄨㄈㄦㄖㄧㄓ	股利保證倍
dividend warrant	ˈdɪvɪdɛnd ˈwɒrənt	d-i-v-i-d-é-n-d- -w-o-r-ə-n-t	ㄉㄧㄈㄧㄉㄜㄋㄉ ㄨㄛㄖㄣㄉ	股利單
dividend yield	ˈdɪvɪdɛnd jiːld	d-i-v-i-d-é-n-d- -y-ē-l-d	ㄉㄧㄈㄧㄉㄜㄋㄉ ㄡㄧㄌㄉ	12 每股股利與目前價格的比率
divider	dɪˈvaɪdə	d-i-v-ī-d-ə	ㄉㄧㄈㄚㄧㄉㄦ	劃分者
divination	ˌdɪvɪˈneɪʃən	d-i-v-i-n-ā-sh-ə-n	ㄉㄧㄈㄧㄋㄝㄧㄕㄣ	佔卜
divine	dɪˈvaɪn	d-i-v-ī-n	ㄉㄧㄈㄚㄧㄋ	神的
diving	ˈdaɪvɪŋ	d-ī-v-i-ng	ㄉㄚㄧㄈㄧㄥ	潛水
divinity	dɪˈvɪnɪti	d-i-v-i-n-i-t-ē	ㄉㄧㄈㄧㄋㄧㄉㄧ	神
divisible	dɪˈvɪzəbl	d-i-v-i-z-ə-b-l	ㄉㄧㄈㄧㄗㄦㄅㄌ	可分的
division	dɪˈvɪʒən	d-i-v-i-zh-ə-n	ㄉㄧㄈㄧㄓㄣ	分
division sign	dɪˈvɪʒən saɪn	d-i-v-i-zh-ə-n- -s-ī-n	ㄉㄧㄈㄧㄓㄣ ㄙㄚㄧㄋ	除號
divisional	dɪˈvɪʒənl	d-i-v-i-zh-ə-n-l	ㄉㄧㄈㄧㄓㄣㄌ	部門的
divisive	dɪˈvaɪsɪv	d-i-v-ī-s-i-v	ㄉㄧㄈㄚㄧㄙㄧㄈ	區分的
divisor	dɪˈvaɪzə	d-i-v-ī-z-ə	ㄉㄧㄈㄚㄧㄗㄦ	除數
divorce	dɪˈvɔːs	d-i-v-ô-s	ㄉㄧㄈㄛㄙ	離婚
divorcee	dɪˌvɔːˈsiː	d-i-v-ô-s-ē	ㄉㄧㄈㄛㄙㄧ	離婚者
divot	ˈdɪvət	d-i-v-ə-t	ㄉㄧㄈㄦㄉ	草皮
divulge	daɪˈvʌlʤ	d-ī-v-u-l-y	ㄉㄚㄧㄈㄨㄌㄓ	洩露
divvy	ˈdɪvi	d-i-v-ē	ㄉㄧㄈㄧ	分攤
DIY	diː-aɪ-waɪ	d-ē-ī-w-ī	ㄉㄧ-ㄚㄧ-ㄨㄚㄧ	不雇工
dizygotic	dizygotic	d-ē-z-y-g-o-t-ē-c	ㄉㄧㄗㄩㄍㄛㄉㄧㄕ	兩合子的
dizzy	ˈdɪzi	-d-i-z-ē	ㄉㄧㄗㄧ	暈眩的
DJ	ˈdiːˌʤeɪ	d-ē-y-ā	ㄉㄧㄓㄝㄧ	11 唱片流行音樂節目播音員
dl	dl	d-l	ㄉㄌ	數據語言
DLL	diː-ɛl-ɛl	d-ē-é-l-é-l	ㄉㄧ-ㄜㄌ-ㄜㄌ	動態鏈接庫
dlr	dlr	d-l-r	ㄉㄌㄖ	美元
dm	dm	d-m	ㄉㄇ	數學博士
do	duː	d-ū	ㄉㄨ	做
do-it-yourself	ˈduːɪtjɔːˈsɛlf	d-ū-i-t-y-ô-s-é-l-f	ㄉㄨㄧㄉㄡㄛㄙㄜㄌㄈ	自己動手
do-nothing	ˈduːˌnʌθɪŋ	d-ū-n-u-th-i-ng	ㄉㄨㄋㄨㄊㄧㄥ	懶鬼
do-or-die	duː-ɔː-daɪ	d-ū-ô-d-ī	ㄉㄨ-ㄛ-ㄉㄚㄧ	不屈不撓的
doable	ˈduːəbl	d-ū-ə-b-l	ㄉㄨㄦㄅㄌ	可做的
dobsonfly	dobsonfly	d-o-b-s-o-n-f-l-y	ㄉㄛㄅㄙㄛㄋㄈㄌㄩ	魚蛉
doc	dɒk	-d-o-k	ㄉㄛㄍ	通信部
docile	ˈdəʊsaɪl	d-ə-oo-s-ī-l	ㄉㄦㄡㄙㄚㄧㄌ	容易教的
dock	dɒk	d-o-k	ㄉㄛㄍ	碼頭
dockage	ˈdɒkɪʤ	d-o-k-i-y	ㄉㄛㄍㄧㄓ	入塢費
docker	ˈdɒkə	d-o-k-ə	ㄉㄛㄍㄦ	碼頭工人
docket	ˈdɒkɪt	d-o-k-i-t	ㄉㄛㄍㄧㄉ	摘要
dockhand	dockhand	d-oc-k-h-a-n-d	ㄉㄛㄕㄍㄏㄢㄉ	船塢工人
dockyard	ˈdɒkjɑːd	d-o-k-y-ä-d	ㄉㄛㄍㄡㄚㄉ	造船廠
doctor	ˈdɒktə	d-o-k-t-ə	ㄉㄛㄍㄉㄦ	醫生
Doctor of Philosophy	ˈdɒktər ɒv fɪˈlɒsəfi	d-o-k-t-ə-r- -o-v- -f-i-l-o-s-ə-f-ē	ㄉㄛㄍㄉㄦㄖ ㄛㄈ ㄈㄧㄌㄛㄙㄦㄈㄧ	博士
doctoral	ˈdɒktərəl	d-o-k-t-ə-r-ə-l	ㄉㄛㄍㄉㄦㄖㄦㄌ	博士的
doctorate	ˈdɒktərɪt	d-o-k-t-ə-r-i-t	ㄉㄛㄍㄉㄦㄖㄧㄉ	博士頭銜
doctrinaire	ˌdɒktrɪˈneə	d-o-k-t-r-i-n-ã	ㄉㄛㄍㄉㄖㄧㄋㄝㄦ	空論家
doctrinal	dɒkˈtraɪnl	d-o-k-t-r-ī-n-l	ㄉㄛㄍㄉㄖㄚㄧㄋㄌ	教義的
doctrine	ˈdɒktrɪn	d-o-k-t-r-i-n	ㄉㄛㄍㄉㄖㄧㄋ	教條
document	ˈdɒkjʊmənt	d-o-k-y-oo-m-ə-n-t	ㄉㄛㄍㄡㄡㄇㄣㄉ	文件
documentary	ˌdɒkjʊˈmɛntəri	d-o-k-y-oo-m-é-n-t-ə-r-ē	ㄉㄛㄍㄡㄡㄇㄜㄋㄉㄦㄖㄧ	記錄片
documentation	ˌdɒkjʊmɛnˈteɪʃən	d-o-k-y-oo-m-é-n-t-ā-sh-ə-n	ㄉㄛㄍㄡㄡㄇㄜㄋㄉㄝㄧㄕㄣ	文件
dodder	ˈdɒdə	d-o-d-ə	ㄉㄛㄉㄦ	搖擺
doddery	ˈdɒdəri	d-o-d-ə-r-ē	ㄉㄛㄉㄦㄖㄧ	衰老的
doddle	doddle	d-o-d-d-l-e	ㄉㄛㄉㄉㄌㄝ	兒戲
dodecagon	dəʊˈdɛkəgən	-d-ə-oo-d-é-k-ə-g-ə-n	ㄉㄦㄡㄉㄜㄍㄦㄍㄣ	十二角形
dodecahedron	ˈdəʊdɪkəˈhɛdrən	d-ə-oo-d-i-k-ə-h-é-d-r-ə-n	ㄉㄦㄡㄉㄧㄍㄦㄏㄜㄉㄖㄣ	十二面體
dodge	dɒʤ	d-o-y	ㄉㄛㄓ	避開
dodgeball	dodgeball	d-o-d-g-e-b-a-l-l	ㄉㄛㄉㄍㄝㄅㄚㄌㄌ	躲球遊戲
dodgem	dodgem	d-o-d-g-e-m	ㄉㄛㄉㄍㄝㄇ	躲閃車
dodger	ˈdɒʤə	d-o-y-ə	ㄉㄛㄓㄦ	躲閃者
dodgy	ˈdɒʤi	d-o-y-ē	ㄉㄛㄓㄧ	狡猾的
dodo	ˈdəʊdəʊ	d-ə-oo-d-ə-oo	ㄉㄦㄡㄉㄦㄡ	渡渡鳥
doe	dəʊ	d-ə-oo	ㄉㄦㄡ	母鹿
doer	ˈdu(ː)ə	d-ū---ə	ㄉㄨㄦ	行為者
doeskin	ˈdəʊskɪn	d-ə-oo-s-k-i-n	ㄉㄦㄡㄙㄍㄧㄋ	母鹿皮
dof	dof	d-o-f	ㄉㄛㄈ	自由度
doff	doff	d-o-f-f	ㄉㄛㄈㄈ	脫
dog	dɒg	d-o-g	ㄉㄛㄍ	狗
dog clutch	dɒg klʌʧ	d-o-g- -k-l-u-ch	ㄉㄛㄍ ㄍㄌㄨㄓ	爪形離合器
dog rose	dɒg rəʊz	d-o-g- -r-ə-oo-z	ㄉㄛㄍ ㄖㄦㄡㄗ	狗牙薔薇
dog tag	dɒg tæg	d-o-g- -t-a-g	ㄉㄛㄍ ㄉㄚㄍ	卡箍標記
dog-eared	ˈdɒgɪəd	d-o-g-ē-ə-d	ㄉㄛㄍㄧㄦㄉ	折角的
dog-tired	ˈdɒgˈtaɪəd	d-o-g-t-ī-ə-d	ㄉㄛㄍㄉㄚㄧㄦㄉ	疲倦極的
dogbane	ˈdɒgbeɪn	d-o-g-b-ā-n	ㄉㄛㄍㄅㄝㄧㄋ	夾竹桃
dogberry	ˈdɒgbɛri	d-o-g-b-é-r-ē	ㄉㄛㄍㄅㄜㄖㄧ	花楸
doge	dəʊʤ	d-ə-oo-y	ㄉㄦㄡㄓ	總督
dogface	ˈdɒgfeɪs	d-o-g-f-ā-s	ㄉㄛㄍㄈㄝㄧㄙ	士兵
dogfight	ˈdɒgfaɪt	d-o-g-f-ī-t	ㄉㄛㄍㄈㄚㄧㄉ	混戰
dogfish	ˈdɒgfɪʃ	d-o-g-f-i-sh	ㄉㄛㄍㄈㄧㄕ	狗鯊
dogged	dɒgd	d-o-g-d	ㄉㄛㄍㄉ	頑固的
doggerel	ˈdɒgərəl	d-o-g-ə-r-ə-l	ㄉㄛㄍㄦㄖㄦㄌ	打油詩
doggone	ˈdɒgˈgɒn	d-o-g-g-o-n	ㄉㄛㄍㄍㄛㄋ	可憎的
doggy	ˈdɒgi	d-o-g-ē	ㄉㄛㄍㄧ	小狗兒
doghouse	ˈdɒghaʊs	d-o-g-h-o-w-s	ㄉㄛㄍㄏㄚㄡㄙ	狗窩
dogma	ˈdɒgmə	d-o-g-m-ə	ㄉㄛㄍㄇㄦ	教條
dogmatic	dɒgˈmætɪk	d-o-g-m-a-t-i-k	ㄉㄛㄍㄇㄚㄉㄧㄍ	教條的
dogmatics	dɒgˈmætɪks	d-o-g-m-a-t-i-k-s	ㄉㄛㄍㄇㄚㄉㄧㄍㄙ	教義學
dogmatism	dogmatism	d-o-g-m-a-t-ē-s-m	ㄉㄛㄍㄇㄚㄉㄧㄙㄇ	武斷
dogmatize	ˈdɒgmətaɪz	d-o-g-m-ə-t-ī-z	ㄉㄛㄍㄇㄦㄉㄚㄧㄗ	武斷
