ກ	A	k
ເຈົ້າ^ເບັນຮາດາດ	You, Ben-hadad.	echoaa^ebnaadaad
ເຈົ້າ^ປີຣາມ	You^Piram	echoaa^piiraam
ເຈົ້າ^ເປກາ	You^Peka	echoaa^epkaa
ເຈົ້າ^ມະຫາຊີວິດ	You are the great life.	echoaa^mahaasiiwid
ເຈົ້າ^ມານາເຊ	You, Manasseh.	echoaa^maanaaes
ເຈົ້າ^ເມຄີເຊເດັກ	You, Melchizedek.	echoaa^emkhiiesedk
ເຈົ້າ^ຢາບິນ	You are a bird.	echoaa^yaabin
ເຈົ້າ^ຢາເຟຍ	You are Japheth.	echoaa^yaaefny
ເຈົ້າ^ເຢໂຣໂບອາມ	You, Jeroboam.	echoaa^eyorob`aam
ເຈົ້າ^ເຢໂຮຊາຟັດ	You, Jehoshaphat.	echoaa^eyosaafd
ເຈົ້າ^ເຢໂຮຍອາກິນ	You, Jehoiachin.	echoaa^eyony`aakin
ເຈົ້າ^ເຢໂຮຍອາກິມ	You, Jehoiakim	echoaa^eyony`aakim
ເຈົ້າ^ເຢໂຮຣາມ	You, Jehoram.	echoaa^eyoraam
ເຈົ້າ^ເຢໂຮອາດ	You, Jehoash,	echoaa^eyo`aad
ເຈົ້າ^ເຢໂຮອາຮາດ	You, Jehoahaz,	echoaa^eyo`aaaad
ເຈົ້າ^ໂຢສີຢາ	You, Josiah.	echoaa^oysiiyaa
ເຈົ້າ^ໂຢທາມ	You, Jotham.	echoaa^oythaam
ເຈົ້າ^ໂຢບັບ	You, Jobab.	echoaa^oybb
ເຈົ້າ^ໂຢອາດ	You, Joash.	echoaa^oy`aad
ເຈົ້າ^ໂຢອາຮາດ	You, Jehoahaz,	echoaa^oy`aaaad
ເຈົ້າ^ເຣຊິນ	You are a resin.	echoaa^ersin
ເຈົ້າ^ເຣໂຫໂບອາມ	You, Rehoboam,	echoaa^erohob`aam
ເຈົ້າ^ອາກາ	You are the king.	echoaa^`aakaa
ເຈົ້າ^ອາກີເຊ	You, Achish.	echoaa^`aakiies
ເຈົ້າ^ອາສາ	You are welcome.	echoaa^`aasaa
ເຈົ້າ^ອາຊູບານີປານ	You are a sub-human.	echoaa^`aasuubaaniipaan
ເຈົ້າ^ອາໂດນີ^ເຊເດັກ	You, Adoni-zedek,	echoaa^`aaodnii^esedk
ເຈົ້າ^ອາໂດນີ^ເບເຊັກ	You^Adoni^Bezek	echoaa^`aaodnii^ebesk
ເຈົ້າ^ອາບີເມເຫຼັກ	You, Abimelech,	echoaa^`aabiiemehlk
ເຈົ້າ^ອາບີຢາ	You, Abijah.	echoaa^`aabiiyaa
ເຈົ້າ^ອາມາຊີຢາ	You, Amaziah.	echoaa^`aamaasiiyaa
ເຈົ້າ^ອາໂມ	You are Amor.	echoaa^`aaom
ເຈົ້າ^ອາໂມນ	You, Amon.	echoaa^`aaomn
ເຈົ້າ^ອາຮາຊີຢາ	Ahaziah	echoaa^`aaaasiiyaa
ເຈົ້າ^ອາຮາດ	Ahaz	echoaa^`aaaad
ເຈົ້າ^ອາຮາບ	You, Ahab.	echoaa^`aaaab
ເຈົ້າ^ອຸດຊີຢາ	You, Uzziah.	echoaa^`udsiiyaa
ເຈົ້າ^ເອກໂລນ	You, Eglon.	echoaa^e`koln
ເຈົ້າ^ເອວິນເມໂຣດັກ	You, O king of Egypt,	echoaa^e`winemordk
ເຈົ້າ^ເອີຍ	You, sir.	echoaa^e`iiny
ເຈົ້າ^ຮາຊາເອນ	You, Hazael.	echoaa^aasaae`n
ເຈົ້າ^ຮາດາເດເຊ	King Hadadezer	echoaa^aadaaedes
ເຈົ້າ^ຮີຣາມ	Hiram	echoaa^iiraam
ເຈົ້າ^ເຮເຊກີຢາ	You, Hezekiah.	echoaa^eeskiiyaa
ເຈົ້າ^ໂຮເຊອາ	You, Hosea.	echoaa^oes`aa
ເຈົ້າ^ໂຮຣາມ	You, Horam.	echoaa^oraam
ເຈົ້າ^ໂຮຮາມ	You^Hoham	echoaa^oaam
ເຈົ້າໆ	You guys	echoaa+
ເຈົ້າກະສັດ	Your Majesty	echoaakasd
ເຈົ້າໂກກ	You are a fool.	echoaaokk
ເຈົ້າຂອງ	Owner	echoaakh`ng
ເຈົ້າຂອງ^ງົວ	The owner of the cow	echoaakh`ng^ngow
ເຈົ້າຂອງ^ສັດ	Animal owner	echoaakh`ng^sd
ເຈົ້າຂອງ^ດິນແດນ	Landowner	echoaakh`ng^dineidn
ເຈົ້າຂອງ^ເດີມ	Original owner	echoaakh`ng^ediim
ເຈົ້າຂອງ^ເຕັມ	Owner^full	echoaakh`ng^ehm
ເຈົ້າຂອງ^ທີ່ດິນ	Landowner	echoaakh`ng^thiidin
ເຈົ້າຂອງ^ຜູ້	Owner^who	echoaakh`ng^phuu
ເຈົ້າຂອງ^ຢູ່	The owner is here.	echoaakh`ng^yuu
ເຈົ້າຂອງ^ເຮືອນ	Homeowner	echoaakh`ng^eyy`n
ເຈົ້າຂ້າ	You kill.	echoaakhaa
ເຈົ້າຂຸນ^ມຸນນາຍ	You are the king.	echoaakhun^munnaany
ເຈົ້າແຂວງ	Governor	echoaaeikhwng
ເຈົ້າຄຸນ	Your Majesty	echoaakhun
ເຈົ້າສາວ	Bride	echoaasaaw
ເຈົ້າສີໂຫນ	You are a star.	echoaasiiohn
ເຈົ້າຊາຍ	Prince	echoaasaany
ເຈົ້າຊີວິດ	Lord of life	echoaasiiwid
ເຈົ້າເຊກາຣີຢາ	Zechariah	echoaaeskaariiyaa
ເຈົ້າໂຊໂລໂມນ	King Solomon	echoaaosolomn
ເຈົ້າຍິງ	Princess	echoaanying
ເຈົ້າດາຣິອຸດ	King Darius	echoaadaari`ud
ເຈົ້າຖິ່ນ	Local government	echoaathin
ເຈົ້າທັງຫຼາຍ	All of you	echoaathnghlaany
ເຈົ້ານາຍ	Boss	echoaanaany
ເຈົ້ານາຍ^ແຫ່ງ^ກະສັດ	Lord of the King	echoaanaany^eihng^kasd
ເຈົ້ານາຍ^ເອີຍ	Sir,	echoaanaany^e`iiny
ເຈົ້າເນບູ^ກາດເນັດຊາ	King Nebuchadnezzar	echoaaenbuu^kaadendsaa
ເຈົ້າບ່າວ	Groom	echoaabaaw
ເຈົ້າບ່າວ^ເຈົ້າສາວ	Bride and groom	echoaabaaw^echoaasaaw
ເຈົ້າບ່າວ^ລອງ	The groom tried.	echoaabaaw^l`ng
ເຈົ້າບຸນ	Benevolent	echoaabun
ເຈົ້າພະຍາ	You are a doctor.	echoaaphanyaa
ເຈົ້າພາບ	Host	echoaaphaab
ເຈົ້າແມ່	Mother	echoaaeim
ເຈົ້າແມ່^ອັດສະຕາກ	Mother of Ashtarak	echoaaeim^`dsahaak
ເຈົ້າແມ່^ອາເຊຣາ	Mother Asherah	echoaaeim^`aaesraa
ເຈົ້າໜ້າທີ່	Official	echoaahnaathii
ເຈົ້າໜ້າທີ່^ຮັກສາ	Security officer	echoaahnaathii^ksaa
ເຈົ້າໜີ້	Creditor	echoaahnii
ເຈົ້າເອງ	You yourself	echoaae`ng
ເຈົ້າເອລາ	Elah	echoaae`laa
ເຈົ້າໂອກ	You are an oak.	echoaao`k
ເຈົ້າຮີຣາມ	Hiram	echoaaiiraam
ແຈ	Corner	eich
ແຈກ	Distribute	eichk
ແຈກ^ຢາຍ	Distribute	eichk^yaany
ແຈກຈ່າຍ	Distribute	eichkchaany
ແຈກທານ	Give alms	eichkthaan
ແຈກຢາຍ	Distribute	eichkyaany
ແຈງ	Explain	eichng
ແຈ້ງ	Inform	eichng
ແຈ້ງໃສ	Clear	eichngays
ແຈ້ງເທົ່າ	As clear as possible	eichngethoaa
ແຈດ	Jack	eichd
ແຈທາງ	Corner	eichthaang
ແຈບ^ດີ	Very good.	eichb^dii
ແຈ່ມແຈ້ງ	Clearly	eichmeichng
ແຈ່ມໃສ	Clear	eichmays
ໂຈດ	Plaintiff	ochd
ໂຈນ	Thief	ochn
ໂຈມ	Attack	ochm
ໂຈມຕີ	Attack	ochmhii
ໂຈມຕີ^ໂລດ	Attack^Lot	ochmhii^old
ໃຈ	Heart	aych
ໃຈ^ກວ້າງຂວາງ	Broad-minded	aych^kwaangkhwaang
ໃຈ^ກ້າ	Courageous	aych^kaa
ໃຈ^ຂີ້ດຽດ	Heartbroken	aych^khiidnyd
ໃຈ^ຂົມຂື່ນ	Bitter heart	aych^khomkhyyn
ໃຈ^ແຂງ	Strong-hearted	aych^eikhng
ໃຈ^ແຂງ^ກະດ້າງ^ດື້ດຶງ	Hard-hearted, stubborn, stubborn	aych^eikhng^kadaang^dyydyng
ໃຈ^ຈອງຫອງ	Proud heart	aych^ch`ngh`ng
ໃຈ^ຈິງ	True heart	aych^ching
ໃຈ^ສະບາຍ	Good morning.	aych^sabaany
ໃຈ^ສະໝັກ	I agree.	aych^sahmk
ໃຈ^ສັດທາ	Faith	aych^sdthaa
ໃຈ^ສົ້ມ	Sour heart	aych^som
ໃຈ^ຊົ່ວ	Evil mind	aych^sow
ໃຈ^ຊົ່ວຊ້າ	Evil mind	aych^sowsaa
ໃຈ^ດຽວກັນ	Same mind	aych^dnywkn
ໃຈ^ທ່ຽງທຳ	Honesty	aych^thnyngtham
ໃຈ^ບຸນ	Kindness	aych^bun
ໃຈ^ມັກ	Like	aych^mk
ໃຈ^ເມດຕາ	Kindness	aych^emdhaa
ໃຈ^ໂມໂຫ	Angry	aych^omoh
ໃຈກາງ	Center	aychkaang
ໃຈແຂງ	Hard-hearted	aycheikhng
ໃຈຄໍ	Heartbroken	aychkhM
ໃຈຄວາມ^ຂອງ^ຈົດໝາຍ	The meaning of the letter	aychkhwaam^kh`ng^chodhmaany
ໃຈຈິງ	Sincerely	aychching
ໃຈດີ	Kind-hearted	aychdii
ໃຈພ້ອມ	Ready mind	aychph`m
ໃຈຮ້າຍ	Angry	aychaany
ໄຈ້ແຍກ	Separate	aicheinyk
ສໍ່	So	sM
ສໍ້ໂກງ	Fraud	sMokng
ສໍຂາວ	White pencil	sMkhaaw
ສວຍ	Beautiful	swny
ສວຍ^ໂອກາດ	Good opportunity	swny^o`kaad
ສວຍງາມ	Beautiful	swnyngaam
ສ່ວຍສາ^ອາກອນ	Taxpayer	swnysaa^`aak`n
ສວຍສົດ	Beautiful and fresh	swnysod
ສວຍໃຊ້	Take advantage of	swnyays
ສວຍໂອກາດ	Take advantage of the opportunity	swnyo`kaad
ສວດ	Pray	swd
ສວນ	Garden	swn
ສ່ວນ	Part	swn
ສວນ^ຄົວ	Garden	swn^khow
ສ່ວນ^ໃດ	Which part?	swn^ayd
ສ່ວນ^ໃດ^ແດ່	Which part?	swn^ayd^eid
ສ່ວນ^ທັງຫລາຍ	All parts	swn^thnghlaany
ສວນ^ນັ້ນ	That garden	swn^nn
ສວນ^ຜັກ	Vegetable garden	swn^phk
ສ່ວນ^ພິເສດ	Special part	swn^phiesd
ສ່ວນ^ໜຶ່ງ	Part one	swn^hnyng
ສວນ^ໝາກກອກເທດ	Olive grove	swn^hmaakk`kethd
ສວນ^ໝາກເດື່ອເທດ	Fig orchard	swn^hmaakedyy`ethd
ສວນ^ໝາກອະງຸ່ນ	Grape garden	swn^hmaak`angun
ສວນ^ອະງຸ່ນ	Vineyard	swn^`angun
ສ່ວນ^ອື່ນ	Other parts	swn^`yyn
ສວນ^ອຸທະຍານ	Garden	swn^`uthanyaan
ສ່ວນ||ກໍ	Part|| also	swn||kM
ສ່ວນໃດ^ສ່ວນໜຶ່ງ	Which part^a part	swnayd^swnhnyng
ສ່ວນຕ່າງໆ	Various parts	swnhaang+
ສ່ວນຕົວ	Private	swnhow
ສວນນີ້	This garden	swnnii
ສ່ວນແບ່ງ	Share	swneibng
ສ່ວນເລິກ	Deep part	swnelik
ສ່ວນໜຶ່ງ	Part	swnhnyng
ສ່ວນໜຶ່ງ^ບໍຣິສຸດ	Part of the Holy Spirit	swnhnyng^bMrisud
ສວນໝາກ^ອະງຸ່ນ	Vineyard	swnhmaak^`angun
ສ່ວນຫລາຍ	Mostly	swnhlaany
ສວນອະງຸ່ນ	Vineyard	swn`angun
ສວບ	Short	swb
ສວມ	Wear	swm
ສວມ^ໃສ່	Wear	swm^ays
ສອງ	Two	s`ng
ສ່ອງ	Shine	s`ng
ສອງ^ຄົນ	Two people	s`ng^khon
ສ່ອງ^ໃສ່	Shine on	s`ng^ays
ສອງ^ໂຕ	Two^	s`ng^oh
ສອງ^ລິດ	Two liters	s`ng^lid
ສອງກໍ້າ^ສອງຝ່າຍ	Two sides^two sides	s`ngkMaa^s`ngfaany
ສ່ອງແຈ້ງ	Shine brightly	s`ngeichng
ສອງໃຈ^ເອີຍ	Two hearts^yes	s`ngaych^e`iiny
ສ່ອງແສງ	Shine	s`ngeisng
ສ່ອງແສງ^ເຫລື້ອມ	Shine, shine.	s`ngeisng^ehlyy`m
ສ່ອງແສງ^ຮຸ່ງ^ແຈ້ງ	Shine brightly.	s`ngeisng^ung^eichng
ສ່ອງແສງໃສ	Shine brightly	s`ngeisngays
ສອງແສນ	Two hundred thousand	s`ngeisn
ສ່ອງໃສ	Shine brightly	s`ngays
ສ່ອງໄສ	Reflect	s`ngais
ສອງເທົ່າ	Double	s`ngethoaa
ສອງພັນ	Two thousand	s`ngphn
ສອງພັນ^ເຈັດຮ້ອຍ	Two thousand seven hundred	s`ngphn^echd`ny
ສອງພັນ^ສອງຮ້ອຍ^ຫ້າສິບ	Two thousand^two hundred^fifty	s`ngphn^s`ng`ny^haasib
ສອງພັນ^ຫົກຮ້ອຍ	Two thousand six hundred	s`ngphn^hok`ny
ສອງມື້	Two days	s`ngmyy
ສອງແມັດ^ຊາວ	Two meters^twenty	s`ngeimd^saaw
ສອງແມັດ^ຊາວເຊັນ	Two meters^twenty centimeters	s`ngeimd^saawesn
ສອງແມັດ^ຊາວຫ້າ	Two meters^twenty-five	s`ngeimd^saawhaa
ສອງໝື່ນ	Twenty thousand	s`nghmyyn
ສ່ອງເຫັນເງົາ	See the shadow	s`ngehnengoaa
ສອງຮ້ອຍ	Two hundred	s`ng`ny
ສອງຮ້ອຍ^ສາມສິບ	Two hundred and thirty	s`ng`ny^saamsib
ສອງຮ້ອຍ^ສາມສິບສອງ	Two hundred and thirty-two	s`ng`ny^saamsibs`ng
ສອງຮ້ອຍ^ສິບສອງ	Two hundred and twelve	s`ng`ny^sibs`ng
ສອງຮ້ອຍ^ແປດສິບແປດ	Two hundred and eighty-eight	s`ng`ny^eipdsibeipd
ສອງຮ້ອຍ^ແປດສິບພັນ	Two hundred and eighty thousand	s`ng`ny^eipdsibphn
ສອງຮ້ອຍ^ພັນ	Two hundred thousand	s`ng`ny^phn
ສອງຮ້ອຍ^ຫ້າສິບ	Two hundred and fifty	s`ng`ny^haasib
ສອງຮ້ອຍ^ຫ້າສິບພັນ	Two hundred and fifty thousand	s`ng`ny^haasibphn
ສອງຮ້ອຍ^ຫົກສິບ	Two hundred and sixty	s`ng`ny^hoksib
ສອງຮ້ອຍ^ຫົກສິບຫ້າ	Two hundred and sixty-five	s`ng`ny^hoksibhaa
ສອງຮ້ອຍຊາວ	Two hundred and twenty	s`ng`nysaaw
ສອຍ	Food	s`ny
ສ້ອຍ	Bracelet	s`ny
ສອດ	Enter	s`d
ສອດຄ່ອງ	Consistent	s`dkh`ng
ສອດສ່ອງ	Look closely	s`ds`ng
ສອດແນມ	Spy	s`deinm
ສອດແນມ^ເບິ່ງ	Spy^Watch	s`deinm^ebing
ສອນ	Teach	s`n
ສອນຍາກ	Difficult to teach	s`nnyaak
ສອບ	Exam	s`b
ສອບສວນ	Investigation	s`bswn
ສອບຖາມ	Inquiry	s`bthaam
ສ້ອມ	Fork	s`m
ສ້ອມແປງ	Repair	s`meipng
ສະ	The	sa
ສະ^ນໍ້າ	Water	sa^nMaa
ສະ^ອາບນໍ້າ	Take a bath.	sa^`aabnMaa
ສະກັດ	Extract	sakd
ສະກັດ^ກັ້ນ	Block	sakd^kn
ສະກົດ	Spell	sakod
ສະກົດຮອຍ	Spelling	sakod`ny
ສະເກັດ^ໄຟ	Skate	saekd^aif
ສະສາງ	Sang	sasaang
ສະສົມ	Accumulate	sasom
ສະດວກ	Convenient	sadwk
ສະດວກ^ສະບາຍ	Convenient	sadwk^sabaany
ສະດັບ	Decoration	sadb
ສະດຸ້ງ	Sadung	sadung
ສະດຸ້ງ^ຕື່ນ	Wake up.	sadung^hyyn
ສະດຸດ	Stumble	sadud
ສະດຸດ^ລົ້ມ	Stumbled^fallen	sadud^lom
ສະດຸດ^ລົ້ມ^ໝົດແຮງ	Stumbled^fallen^exhausted	sadud^lom^hmodeing
ສະເດັດ	Come	saedd
ສະແດງ	Show	saeidng
ສະຕິ	Consciousness	sahi
ສະຕິປັນຍາ	Wisdom	sahipnnyaa
ສະຕຼີ	Woman	sahlii
ສະເຕຟານາ	Stefana	saehfaanaa
ສະຖາທີ່	Location	sathaathii
ສະຖານ	Place	sathaan
ສະຖານ^ທີ່^ສູງ	High place	sathaan^thii^suung
ສະຖານ^ບໍຣິສຸດ	Holy place	sathaan^bMrisud
ສະຖານ^ບູຊາ	Place of worship	sathaan^buusaa
ສະຖານທີ່	Location	sathaanthii
ສະຖານທີ່^ສັກສິດ	Sacred place	sathaanthii^sksid
ສະຖານທີ່^ສູງ	High place	sathaanthii^suung
ສະຖານທີ່^ນະມັດສະການ	Place of worship	sathaanthii^namdsakaan
ສະຖານະການ	Situation	sathaanakaan
ສະຖາປະນາ	Establishment	sathaapanaa
ສະຖິດ	Stay	sathid
ສະຖິດ^ຢູ່	Stay	sathid^yuu
ສະຖິດຢູ່	Stay	sathidyuu
ສະທ້ອນ	Reflect	sath`n
ສະທ້ານ	Shock	sathaan
ສະທ້ານ^ສະເທືອນ	Tremble^tremble	sathaan^saethyy`n
ສະທ້ານ^ຢ້ານກົວ	Fearful	sathaan^yaankow
ສະທ້ານ^ຫວັ່ນໄຫວ	Tremble, tremble.	sathaan^hwnaihw
ສະເທືອນ	Shock	saethyy`n
ສະເທືອນ^ຫວັ່ນໄຫວ	Shake, tremble, tremble	saethyy`n^hwnaihw
ສະນັ້ນ	So	sann
ສະນັ້ນແຫລະ	So, that's it.	sanneihla
ສະນໍ້າ	Water	sanMaa
ສະນໍ້າ^ກີເບໂອນ	Gibeon	sanMaa^kiiebo`n
ສະບັ້ນ	Slap	sabn
ສະບັບ	Version	sabb
ສະບາຍ	Hello	sabaany
ສະບາຍ^ໃຈ	Good morning.	sabaany^aych
ສະບາຍດີ	Hello	sabaanydii
ສະບື	Navel	sabyy
ສະບູ	Soap	sabuu
ສະບຽງ^ອາຫານ	Food	sabnyng^`aahaan
ສະເປນ	Spain	saepn
ສະພາ	Council	saphaa
ສະພາບ	Condition	saphaab
ສະພາບ^ການ	Situation	saphaab^kaan
ສະພາບ^ເດີມ	Original condition	saphaab^ediim
ສະເພາະ	Specifically	saephaaa
ສະເພາະ^ເຈາະຈົງ	Specifically	saephaaa^echaaachong
ສະມັກ^ໃຈ	Desire	samk^aych
ສະມາຄົມ	Association	samaakhom
ສະມາຊິກ	Member	samaasik
ສະລະ	Give up	sala
ສະໂລກ	World	saolk
ສະຫງວນ	Reserve	sahngwn
ສະຫງັກ	Surprise	sahngk
ສະຫງັດ	Terrible	sahngd
ສະຫງັດ^ງຽບ	Quiet, peaceful	sahngd^ngnyb
ສະຫງ່າ	Elegant	sahngaa
ສະຫງ່າ^ຜ່າເຜີຍ	Splendid, transparent	sahngaa^phaaephiiny
ສະຫງ່າງາມ	Elegant	sahngaangaam
ສະຫງ່າຣາສີ	Glory	sahngaaraasii
ສະຫງົບ	Peaceful	sahngob
ສະຫງົບ^ງຽບ	Peaceful^quiet	sahngob^ngnyb
ສະຫງົບ^ເສິກ	Peace and war	sahngob^esik
ສະຫງົບສຸກ	Peaceful	sahngobsuk
ສະຫງຽມ	Beautiful	sahngnym
ສະຫງຽມ^ຄ່ຽມຄົມ	Sharp^sharp	sahngnym^khnymkhom
ສະຫງຽມ^ຈຽມຕົວ	Modest	sahngnym^chnymhow
ສະຫຍອງ^ຂວັນ	Horror	sahny`ng^khwn
ສະໜອງ	Provide	sahn`ng
ສະໜັ່ນ	Thank you	sahnn
ສະໜັ່ນ^ຫວັ່ນໄຫວ	Shake, shake	sahnn^hwnaihw
ສະໜັບ^ສະໜູນ	Support^Support	sahnb^sahnuun
ສະໜັບສະໜູນ	Support	sahnbsahnuun
ສະໜານ	Sanan	sahnaan
ສະໜາມ	Field	sahnaam
ສະໜາມ^ຮົບ	Battlefield	sahnaam^ob
ສະໜາມຮົບ	Battlefield	sahnaamob
ສະໜິດ	Close	sahnid
ສະໜິດ^ສະໜົມ	Closeness, affection	sahnid^sahnom
ສະໜິດແໜ້ນ	Close	sahnideihnn
ສະໜຸກ	Fun	sahnuk
ສະໜຸກ^ສະໜານ	Fun ^ playground	sahnuk^sahnaan
ສະໜົມ	Sweet	sahnom
ສະເໜ່	Charm	saehn
ສະເໜ່ຫາ	Charming	saehnhaa
ສະເໜີ	Offer	saehnii
ສະເໜີ^ຕົວ	Present yourself	saehnii^how
ສະໝໍ	Anchor	sahmM
ສະໝັກ	Apply	sahmk
ສະໝັກ^ໃຈ	Apply.	sahmk^aych
ສະໝໍ່າ	Soma	sahmMaa
ສະໝໍ່າ^ສະເໝີ	Always.	sahmMaa^saehmii
ສະໝຸດ	Ocean	sahmud
ສະໝຽນ	Secretary	sahmnyn
ສະເໝີ	Always	saehmii
ສະເໝີ^ໄປ	Always^go	saehmii^aip
ສະເໝີ^ພາບ	Always^picture	saehmii^phaab
ສະເໝີ^ໜ້າ	Always^page	saehmii^hnaa
ສະເໝີກັນ	Equal	saehmiikn
ສະເໝີໄປ	Always	saehmiiaip
ສະເໝີມາ	Always	saehmiimaa
ສະໄໝ	Time	saaihm
ສະໄໝ^ກ່ອນ	Former times	saaihm^k`n
ສະຫລອງ	Celebrate	sahl`ng
ສະຫລະ	Give up	sahla
ສະຫລະ^ສິດ	Waiver of rights	sahla^sid
ສະຫລັກ	Engrave	sahlk
ສະຫລັບ	Sleep	sahlb
ສະຫລັບ^ກັນ	Alternately	sahlb^kn
ສະຫລາກ	Lottery	sahlaak
ສະຫລາຍ	Very good	sahlaany
ສະຫລາຍໄປ	Go away.	sahlaanyaip
ສະຫລາດ	Wise	sahlaad
ສະຫລາດ^ແທ້	Very clever.	sahlaad^eith
ສະຫລຸບ	Conclusion	sahlub
ສະຫລົດ	Horse	sahlod
ສະຫລົບ	unconscious	sahlob
ສະຫລົວໄປ	Goodbye.	sahlowaip
ສະຫລຽວ^ສະຫລາດ	Smart, clever	sahlnyw^sahlaad
ສະຫວັນ	Heaven	sahwn
ສະຫວັນ^ເອີຍ	Heaven, oh	sahwn^e`iiny
ສະຫວ່າງ	Bright	sahwaang
ສະຫວ່າງ^ສະໄຫວ	Bright^bright	sahwaang^saaihw
ສະຫາຍ	Comrade	sahaany
ສະຫາຍ^ເອີຍ	Comrade,	sahaany^e`iiny
ສະເຫລີມ	Salem	saehliim
ສະເຫລີມ^ສະຫລອງ	Saleem^celebrate	saehliim^sahl`ng
ສະເຫວີຍ	Savoy	saehwiiny
ສະເຫວີຍ^ຣາດ	Saviya^Rad	saehwiiny^raad
ສະແຫວງ	Search	saeihwng
ສະແຫວງ^ຫາ	Seek	saeihwng^haa
ສະແຫວງຫາ	Seek	saeihwnghaa
ສະໄຫວ	Time	saaihw
ສະອອນ	Hello	sa``n
ສະອາດ	Clean	sa`aad
ສະອຶກ^ສະອື້ນ	Hello, hello.	sa`yk^sa`yyn
ສະອື້ນ	Hello	sa`yyn
ສັກ	Tattoo	sk
ສັກສິດ	Sacred	sksid
ສັກສິດ^ທີ່ສຸດ	Most sacred	sksid^thiisud
ສັກສິດ^ນັ້ນ	That is sacred.	sksid^nn
ສັກສີ	Honor	sksii
ສັກດາ^ນຸພາບ	Your Majesty	skdaa^nuphaab
ສັກຕາ^ໃສ່	Eye tattoo	skhaa^ays
ສັກຕາ^ເບິ່ງ	Look at me.	skhaa^ebing
ສັ່ງ	Order	sng
ສັ່ງ^ໄວ້	Ordered.	sng^aiw
ສັງກັດ	Belonging to	sngkd
ສັ່ງການ	Order	sngkaan
ສັງເກດ	Observe	sngekd
ສັງເກດ^ເບິ່ງ	Observe^see	sngekd^ebing
ສັງຂານ	Sangkhana	sngkhaan
ສັ່ງຄວາມ^ໄປ	Order to go.	sngkhwaam^aip
ສັງຄົມ	Society	sngkhom
ສັ່ງສອນ	Teach	sngs`n
ສັງສັນ	Evening	sngsn
ສັ່ງລາ	Say goodbye	snglaa
ສັງເວດ	Sadness	sngewd
ສັງຫານ	Kill	snghaan
ສັງຫານໝູ່	Massacre	snghaanhmuu
ສັດ	Animal	sd
ສັດ^ຕາຍ	Dead animal	sd^haany
ສັດ^ທັງຫລາຍ^ທີ່ມີ^ຊີວິດ	All living creatures	sd^thnghlaany^thiimii^siiwid
ສັດ^ນ້ອຍ	Small animal	sd^n`ny
ສັດ^ນ້ອຍໆ	Small animal	sd^n`ny+
ສັດ^ບ້ານ	Animals	sd^baan
ສັດ^ລ້ຽງ	Pets	sd^lnyng
ສັດ^ໃຫຍ່	Large animal	sd^ayhny
ສັດຈິງ	Real animal	sdching
ສັດສ່ວນ	Proportion	sdswn
ສັດຊື່	Honesty	sdsyy
ສັດຊື່^ແທ້	Honest, true	sdsyy^eith
ສັດຊື່^ເອີຍ	Honesty.	sdsyy^e`iiny
ສັດຍ່າງຍ້າຍ^ເລືອຄານ	Reptile	sdnyaangnyaany^elyy`khaan
ສັດເດຍລະສານ	Beast	sdednylasaan
ສັດຕູ	Enemy	sdhuu
ສັດຕູ^ກັນ	Enemies	sdhuu^kn
ສັດທາ	Faith	sdthaa
ສັດນໍ້າ	Aquatic animal	sdnMaa
ສັດປ່າ	Wild animal	sdpaa
ສັດລ້ຽງ	Pets	sdlnyng
ສັດຮ້າຍ	Wild animal	sdaany
ສັນ	Condo	sn
ສັ່ນ	Shake	sn
ສັ້ນ	Short	sn
ສັ້ນ^ເຂົ້າ	Short rice	sn^ekhoaa
ສັ່ນ^ສະທ້ານ	Tremble^Shock	sn^sathaan
ສັ່ນ^ໄປ^ໝົດ	Shake it all away.	sn^aip^hmod
ສັນ^ເພື່ອນມິດ	Dear friends	sn^ephyy`nmid
ສັ້ນ^ເອໂຟດ	Short^Ephod	sn^e`ofd
ສັ້ນໆ	Briefly	sn+
ສັນຂາ	Leg	snkhaa
ສັນຈອນ	Traffic	snch`n
ສັ່ນສະເທືອນ	Tremble	snsaethyy`n
ສັນສັນນາ	Sansanna	snsnnaa
ສັນຊາດ	Nationality	snsaad
ສັ່ນເຊັນ	Tremble	snesn
ສັນຍາ	Contract	snnyaa
ສັນຍາ^ລັບ	Secret agreement	snnyaa^lb
ສັນຍານ	Signal	snnyaan
ສັນຍາລັກ	Symbol	snnyaalk
ສັນຍາໄວ້	Promise	snnyaaaiw
ສັນດານ	Sandalwood	sndaan
ສັນໃດ	How?	snayd
ສັນຕິ	Peace	snhi
ສັນຕິສຸກ	Peace	snhisuk
ສັນຕິພາບ	Peace	snhiphaab
ສັນຕິຣາດ	Peaceful kingdom	snhiraad
ສັນນັ້ນ	So	snnn
ສັນນາ	Sanna	snnaa
ສັນພູ	Mountain	snphuu
ສັນມິດ	Friend	snmid
ສັນລະສັນ	Peace and quiet	snlasn
ສັນລະເສີນ	Praise	snlaesiin
ສັນລະເສີນ^ແລ້ວ	Praise be to God.	snlaesiin^eilw
ສັ້ນລົງ	Shorten	snlong
ສັ້ນຫລາຍ	Very short	snhlaany
ສັບ	Word	sb
ສັບສົນ	Confused	sbson
ສັບສົນ^ວຸ້ນວາຍ	Confused^confused	sbson^wunwaany
